id,text,created_at,author_id,in_reply_to_user_id,lang,author,entities,referenced_tweets,media,geo
"1550838139203096578","There are so-called leaders across this country putting themselves between a woman and her right to choose. 

And now they're threatening to prosecute Americans who exercise their right to cross state lines for reproductive health care.

This is literally crazy. https://t.co/2KdY9lkBWp","2022-07-23T13:40:00.000Z","224285242",,"en","{""entities"":{""url"":{""urls"":[{""start"":0,""end"":22,""url"":""http://t.co/bQVU54FnhE"",""expanded_url"":""http://bennet.senate.gov"",""display_url"":""bennet.senate.gov""}]}},""protected"":false,""profile_image_url"":""https://pbs.twimg.com/profile_images/897159863863836676/lopmOrpE_normal.jpg"",""verified"":true,""id"":""224285242"",""name"":""Michael Bennet"",""public_metrics"":{""followers_count"":312886,""following_count"":395,""tweet_count"":7502,""listed_count"":3174},""url"":""http://t.co/bQVU54FnhE"",""description"":""U.S. Senator for Colorado"",""location"":""Colorado"",""created_at"":""2010-12-08T16:29:29.000Z"",""username"":""SenatorBennet""}","{""urls"":[{""start"":263,""end"":286,""url"":""https://t.co/2KdY9lkBWp"",""expanded_url"":""https://twitter.com/SenatorBennet/status/1550838139203096578/video/1"",""display_url"":""pic.twitter.com/2KdY9lkBWp"",""media_key"":""13_1550833604804083712""}]}",,"[{""media_key"":""13_1550833604804083712"",""type"":""video""}]",
"1550619807615172615","With reproductive rights under assault nationwide, Planned Parenthood &amp; the Cornell Scott Hill Health Center's #TitleX services are a vital lifeline. We must pass the Expanded Access to Family Planning Act to protect access to birth control, cancer screenings, &amp; more. https://t.co/ZDDBxeLzEC","2022-07-22T23:12:25.000Z","278124059",,"en","{""entities"":{""url"":{""urls"":[{""start"":0,""end"":22,""url"":""http://t.co/MfF8W57FEu"",""expanded_url"":""http://blumenthal.senate.gov/"",""display_url"":""blumenthal.senate.gov""}]}},""protected"":false,""profile_image_url"":""https://pbs.twimg.com/profile_images/870748217440423937/_iFTgKfI_normal.jpg"",""verified"":true,""id"":""278124059"",""name"":""Richard Blumenthal"",""public_metrics"":{""followers_count"":729904,""following_count"":988,""tweet_count"":17826,""listed_count"":4364},""url"":""http://t.co/MfF8W57FEu"",""description"":""Official Twitter account of U.S. Senator Richard Blumenthal, proudly working for the people of Connecticut."",""location"":""Connecticut, USA"",""created_at"":""2011-04-06T17:13:53.000Z"",""username"":""SenBlumenthal""}","{""annotations"":[{""start"":51,""end"":68,""probability"":0.8917,""type"":""Organization"",""normalized_text"":""Planned Parenthood""},{""start"":76,""end"":107,""probability"":0.6347,""type"":""Organization"",""normalized_text"":""Cornell Scott Hill Health Center""}],""urls"":[{""start"":277,""end"":300,""url"":""https://t.co/ZDDBxeLzEC"",""expanded_url"":""https://twitter.com/SenBlumenthal/status/1550619807615172615/photo/1"",""display_url"":""pic.twitter.com/ZDDBxeLzEC"",""media_key"":""3_1550619804171640844""}],""hashtags"":[{""start"":115,""end"":122,""tag"":""TitleX""}]}",,"[{""media_key"":""3_1550619804171640844"",""type"":""photo""}]",
"1550216973199474688","In the face of abhorrent attacks on reproductive freedom we need a consistent, strong source of funding for #TitleX programs. 

Through the Expanding Access to Family Planning Act we can support access to birth control, cancer screenings, &amp; other vital reproductive care services. https://t.co/ZRu3HA3HCL","2022-07-21T20:31:42.000Z","278124059",,"en","{""entities"":{""url"":{""urls"":[{""start"":0,""end"":22,""url"":""http://t.co/MfF8W57FEu"",""expanded_url"":""http://blumenthal.senate.gov/"",""display_url"":""blumenthal.senate.gov""}]}},""protected"":false,""profile_image_url"":""https://pbs.twimg.com/profile_images/870748217440423937/_iFTgKfI_normal.jpg"",""verified"":true,""id"":""278124059"",""name"":""Richard Blumenthal"",""public_metrics"":{""followers_count"":729904,""following_count"":988,""tweet_count"":17826,""listed_count"":4364},""url"":""http://t.co/MfF8W57FEu"",""description"":""Official Twitter account of U.S. Senator Richard Blumenthal, proudly working for the people of Connecticut."",""location"":""Connecticut, USA"",""created_at"":""2011-04-06T17:13:53.000Z"",""username"":""SenBlumenthal""}","{""urls"":[{""start"":285,""end"":308,""url"":""https://t.co/ZRu3HA3HCL"",""expanded_url"":""https://twitter.com/SenBlumenthal/status/1550216973199474688/video/1"",""display_url"":""pic.twitter.com/ZRu3HA3HCL"",""media_key"":""13_1550215465137479680""}],""hashtags"":[{""start"":108,""end"":115,""tag"":""TitleX""}]}",,"[{""media_key"":""13_1550215465137479680"",""type"":""video""}]",
"1550167936610045956","RT @cnsnews: .@SenBillCassidy says abortion is ""absolutely not"" moral, and that pro-choice activists are ""very squeamish"" about the realiti…","2022-07-21T17:16:51.000Z","1017500185356853248",,"en","{""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/B0oP9GRpV1"",""expanded_url"":""http://www.cassidy.senate.gov"",""display_url"":""cassidy.senate.gov""}]},""description"":{""hashtags"":[{""start"":148,""end"":160,""tag"":""GeauxTigers""}]}},""protected"":false,""pinned_tweet_id"":""1534190727076397056"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1017836622145040386/DcP_lQSc_normal.jpg"",""verified"":true,""id"":""1017500185356853248"",""name"":""U.S. Senator Bill Cassidy, M.D."",""public_metrics"":{""followers_count"":49582,""following_count"":1432,""tweet_count"":6176,""listed_count"":886},""url"":""https://t.co/B0oP9GRpV1"",""description"":""Treated uninsured patients as a doctor in Louisiana’s charity hospital system, now serving the people of my state in the US Senate. Proud LSU grad! #GeauxTigers"",""location"":""Baton Rouge, LA"",""created_at"":""2018-07-12T20:05:23.000Z"",""username"":""SenBillCassidy""}","{""mentions"":[{""start"":3,""end"":11,""username"":""cnsnews"",""id"":""34927577""},{""start"":14,""end"":29,""username"":""SenBillCassidy"",""id"":""1017500185356853248""}]}","[{""type"":""retweeted"",""id"":""1550133505379577860"",""source"":""TweetDeck"",""author_id"":""34927577"",""reply_settings"":""everyone"",""public_metrics"":{""retweet_count"":4,""reply_count"":12,""like_count"":10,""quote_count"":1},""entities"":{""mentions"":[{""start"":1,""end"":16,""username"":""SenBillCassidy"",""id"":""1017500185356853248""}],""urls"":[{""start"":157,""end"":180,""url"":""https://t.co/juOGdRjktQ"",""expanded_url"":""https://www.cnsnews.com/article/washington/stephanie-samsel/sen-cassidy-pro-choicers-very-squeamish-about-describing-what"",""display_url"":""cnsnews.com/article/washin…"",""images"":[{""url"":""https://pbs.twimg.com/news_img/1549878570201190400/2LQRLwPs?format=jpg&name=orig"",""width"":3000,""height"":2000},{""url"":""https://pbs.twimg.com/news_img/1549878570201190400/2LQRLwPs?format=jpg&name=150x150"",""width"":150,""height"":150}],""status"":200,""title"":""Sen. Cassidy: Pro-Choicers ‘Very Squeamish’ About Describing What They Support"",""description"":""Sen. Bill Cassidy (R-La.) (Getty Images) (CNS News) -- Senator Bill Cassidy (R-La.) said abortion is “absolutely not” moral, and added that pro-choice activists are often “very squeamish” about discussing the realities of partial-birth abortions. At the U.S. Capitol on July 19, CNS News asked Cassidy, “The Women’s Health Protection Act would legalize abortion nationwide. Is killing unborn children moral?” He replied, “It is absolutely not. And it’s interesting — even those who favor abortion, you can tell are often very squeamish about describing that which they favor.” The senator and former doctor described the gruesome procedure of partial-birth abortions. “For those states that have allowed partial-birth abortions, which is no restrictions until the time of birth, think about it,” said Cassidy. “A child coming through the birth canal can be aborted, which means dismembered, which means could be past nine months of gestation, and yet nonetheless is killed. So those who favor abortio"",""unwound_url"":""https://www.cnsnews.com/article/washington/stephanie-samsel/sen-cassidy-pro-choicers-very-squeamish-about-describing-what""}]},""lang"":""en"",""text"":"".@SenBillCassidy says abortion is \""absolutely not\"" moral, and that pro-choice activists are \""very squeamish\"" about the realities of partial-birth abortions. https://t.co/juOGdRjktQ"",""possibly_sensitive"":false,""created_at"":""2022-07-21T15:00:02.000Z"",""conversation_id"":""1550133505379577860""}]",,
"1550128595489591306","It's clear: reproductive health care is under attack. 

Our legislation will strengthen Title X to improve access to contraception and other family planning services. 

We have to protect this program and the Americans who depend on it. https://t.co/MxNeLTeGeu","2022-07-21T14:40:31.000Z","224285242",,"en","{""entities"":{""url"":{""urls"":[{""start"":0,""end"":22,""url"":""http://t.co/bQVU54FnhE"",""expanded_url"":""http://bennet.senate.gov"",""display_url"":""bennet.senate.gov""}]}},""protected"":false,""profile_image_url"":""https://pbs.twimg.com/profile_images/897159863863836676/lopmOrpE_normal.jpg"",""verified"":true,""id"":""224285242"",""name"":""Michael Bennet"",""public_metrics"":{""followers_count"":312886,""following_count"":395,""tweet_count"":7502,""listed_count"":3174},""url"":""http://t.co/bQVU54FnhE"",""description"":""U.S. Senator for Colorado"",""location"":""Colorado"",""created_at"":""2010-12-08T16:29:29.000Z"",""username"":""SenatorBennet""}","{""annotations"":[{""start"":209,""end"":217,""probability"":0.5821,""type"":""Person"",""normalized_text"":""Americans""}],""urls"":[{""start"":237,""end"":260,""url"":""https://t.co/MxNeLTeGeu"",""expanded_url"":""https://www.bennet.senate.gov/public/index.cfm/2022/7/bennet-hickenlooper-colleagues-introduce-legislation-to-protect-access-to-reproductive-health-care-funding"",""display_url"":""bennet.senate.gov/public/index.c…"",""images"":[{""url"":""https://pbs.twimg.com/news_img/1550128597062471687/zw2FdKGK?format=jpg&name=orig"",""width"":800,""height"":419},{""url"":""https://pbs.twimg.com/news_img/1550128597062471687/zw2FdKGK?format=jpg&name=150x150"",""width"":150,""height"":150}],""status"":200,""title"":""Bennet, Hickenlooper, Colleagues Introduce Legislation to Protect Access to Reproductive Health Care Funding"",""description"":""Colorado U.S. Senators Michael Bennet and John Hickenlooper joined their Democratic colleagues to introduce the Expanding Access to Family Planning Act."",""unwound_url"":""https://www.bennet.senate.gov/public/index.cfm/2022/7/bennet-hickenlooper-colleagues-introduce-legislation-to-protect-access-to-reproductive-health-care-funding""}]}",,,
"1549834384697688069","The right to access birth control has ensured life-changing social and economic freedom for women, but far-right politicians &amp; judges across the country are trying to weaken or overturn this precedent – one that should be long past settled. (1/2) https://t.co/XUL1TD3tpf","2022-07-20T19:11:26.000Z","117501995",,"en","{""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/bsDHjEzNpw"",""expanded_url"":""http://www.cantwell.senate.gov"",""display_url"":""cantwell.senate.gov""}]},""description"":{""urls"":[{""start"":36,""end"":59,""url"":""https://t.co/Qy8ynTvyFN"",""expanded_url"":""http://instagram.com/SenatorMariaCantwell"",""display_url"":""instagram.com/SenatorMariaCa…""},{""start"":62,""end"":85,""url"":""https://t.co/TZiAX2cens"",""expanded_url"":""http://facebook.com/senatorcantwell"",""display_url"":""facebook.com/senatorcantwell""}]}},""protected"":false,""profile_image_url"":""https://pbs.twimg.com/profile_images/1112707249032626176/j7drmGgX_normal.png"",""verified"":true,""id"":""117501995"",""name"":""Sen. Maria Cantwell"",""public_metrics"":{""followers_count"":260837,""following_count"":2235,""tweet_count"":10253,""listed_count"":2689},""url"":""https://t.co/bsDHjEzNpw"",""description"":""U.S. Senator from Washington State |https://t.co/Qy8ynTvyFN | https://t.co/TZiAX2cens | RT≠endorsement"",""location"":""Washington, DC"",""created_at"":""2010-02-25T19:21:52.000Z"",""username"":""SenatorCantwell""}","{""urls"":[{""start"":251,""end"":274,""url"":""https://t.co/XUL1TD3tpf"",""expanded_url"":""https://twitter.com/SenatorCantwell/status/1549834384697688069/video/1"",""display_url"":""pic.twitter.com/XUL1TD3tpf"",""media_key"":""7_1549834159056719873""}]}",,"[{""media_key"":""7_1549834159056719873"",""type"":""video""}]",
"1549823287823409152","This critical legislation would boldly bolster federal Title X funding—supporting birth control, pregnancy counseling, cancer screening, &amp; other vital health care—which are more important now than ever.","2022-07-20T18:27:20.000Z","278124059","278124059","en","{""entities"":{""url"":{""urls"":[{""start"":0,""end"":22,""url"":""http://t.co/MfF8W57FEu"",""expanded_url"":""http://blumenthal.senate.gov/"",""display_url"":""blumenthal.senate.gov""}]}},""protected"":false,""profile_image_url"":""https://pbs.twimg.com/profile_images/870748217440423937/_iFTgKfI_normal.jpg"",""verified"":true,""id"":""278124059"",""name"":""Richard Blumenthal"",""public_metrics"":{""followers_count"":729904,""following_count"":988,""tweet_count"":17826,""listed_count"":4364},""url"":""http://t.co/MfF8W57FEu"",""description"":""Official Twitter account of U.S. Senator Richard Blumenthal, proudly working for the people of Connecticut."",""location"":""Connecticut, USA"",""created_at"":""2011-04-06T17:13:53.000Z"",""username"":""SenBlumenthal""}",,"[{""type"":""replied_to"",""id"":""1549823286304980993"",""source"":""Twitter Web App"",""author_id"":""278124059"",""reply_settings"":""everyone"",""public_metrics"":{""retweet_count"":17,""reply_count"":6,""like_count"":57,""quote_count"":0},""lang"":""en"",""entities"":{""annotations"":[{""start"":154,""end"":162,""probability"":0.5402,""type"":""Person"",""normalized_text"":""Americans""}],""urls"":[{""start"":241,""end"":264,""url"":""https://t.co/CDfHZ7Y6uC"",""expanded_url"":""https://twitter.com/PattyMurray/status/1549413418888843265"",""display_url"":""twitter.com/PattyMurray/st…""}]},""context_annotations"":[{""domain"":{""id"":""10"",""name"":""Person"",""description"":""Named people in the world like Nelson Mandela""},""entity"":{""id"":""940982806661840896"",""name"":""Tina Smith"",""description"":""US Senator Tina Smith (MN)""}},{""domain"":{""id"":""35"",""name"":""Politician"",""description"":""Politicians in the world, like Joe Biden""},""entity"":{""id"":""940982806661840896"",""name"":""Tina Smith"",""description"":""US Senator Tina Smith (MN)""}},{""domain"":{""id"":""10"",""name"":""Person"",""description"":""Named people in the world like Nelson Mandela""},""entity"":{""id"":""888539836977520640"",""name"":""Richard Blumenthal"",""description"":""US Senator Richard Blumenthal (CT)""}},{""domain"":{""id"":""35"",""name"":""Politician"",""description"":""Politicians in the world, like Joe Biden""},""entity"":{""id"":""888539836977520640"",""name"":""Richard Blumenthal"",""description"":""US Senator Richard Blumenthal (CT)""}}],""text"":""At this crucial moment, as health care rights stand in supreme danger—the Expanding Access to Family Planning Act would be a lifeline for the millions of Americans that rely on Title X’s Family Planning Program for reproductive health care. https://t.co/CDfHZ7Y6uC"",""referenced_tweets"":[{""type"":""quoted"",""id"":""1549413418888843265""}],""possibly_sensitive"":false,""created_at"":""2022-07-20T18:27:20.000Z"",""conversation_id"":""1549823286304980993""}]",,
"1549823286304980993","At this crucial moment, as health care rights stand in supreme danger—the Expanding Access to Family Planning Act would be a lifeline for the millions of Americans that rely on Title X’s Family Planning Program for reproductive health care. https://t.co/CDfHZ7Y6uC","2022-07-20T18:27:20.000Z","278124059",,"en","{""entities"":{""url"":{""urls"":[{""start"":0,""end"":22,""url"":""http://t.co/MfF8W57FEu"",""expanded_url"":""http://blumenthal.senate.gov/"",""display_url"":""blumenthal.senate.gov""}]}},""protected"":false,""profile_image_url"":""https://pbs.twimg.com/profile_images/870748217440423937/_iFTgKfI_normal.jpg"",""verified"":true,""id"":""278124059"",""name"":""Richard Blumenthal"",""public_metrics"":{""followers_count"":729904,""following_count"":988,""tweet_count"":17826,""listed_count"":4364},""url"":""http://t.co/MfF8W57FEu"",""description"":""Official Twitter account of U.S. Senator Richard Blumenthal, proudly working for the people of Connecticut."",""location"":""Connecticut, USA"",""created_at"":""2011-04-06T17:13:53.000Z"",""username"":""SenBlumenthal""}","{""annotations"":[{""start"":154,""end"":162,""probability"":0.5402,""type"":""Person"",""normalized_text"":""Americans""}],""urls"":[{""start"":241,""end"":264,""url"":""https://t.co/CDfHZ7Y6uC"",""expanded_url"":""https://twitter.com/PattyMurray/status/1549413418888843265"",""display_url"":""twitter.com/PattyMurray/st…""}]}","[{""type"":""quoted"",""id"":""1549413418888843265"",""source"":""Twitter Web App"",""author_id"":""293131808"",""reply_settings"":""everyone"",""public_metrics"":{""retweet_count"":34,""reply_count"":30,""like_count"":105,""quote_count"":4},""entities"":{""mentions"":[{""start"":182,""end"":195,""username"":""SenTinaSmith"",""id"":""941000686275387392""}],""annotations"":[{""start"":38,""end"":48,""probability"":0.9088,""type"":""Organization"",""normalized_text"":""Republicans""}],""urls"":[{""start"":253,""end"":276,""url"":""https://t.co/Kl7Isdm4Py"",""expanded_url"":""https://twitter.com/SenTinaSmith/status/1549412975315927044"",""display_url"":""twitter.com/SenTinaSmith/s…""}],""hashtags"":[{""start"":219,""end"":226,""tag"":""TitleX""}]},""lang"":""en"",""context_annotations"":[{""domain"":{""id"":""10"",""name"":""Person"",""description"":""Named people in the world like Nelson Mandela""},""entity"":{""id"":""940982806661840896"",""name"":""Tina Smith"",""description"":""US Senator Tina Smith (MN)""}},{""domain"":{""id"":""35"",""name"":""Politician"",""description"":""Politicians in the world, like Joe Biden""},""entity"":{""id"":""940982806661840896"",""name"":""Tina Smith"",""description"":""US Senator Tina Smith (MN)""}},{""domain"":{""id"":""171"",""name"":""Local News"",""description"":""For local-level news entities""},""entity"":{""id"":""1252622946473893890"",""name"":""Seattle""}},{""domain"":{""id"":""10"",""name"":""Person"",""description"":""Named people in the world like Nelson Mandela""},""entity"":{""id"":""888186501418205185"",""name"":""Patty Murray"",""description"":""US Senator Patty Murray (WA)\n""}},{""domain"":{""id"":""35"",""name"":""Politician"",""description"":""Politicians in the world, like Joe Biden""},""entity"":{""id"":""888186501418205185"",""name"":""Patty Murray"",""description"":""US Senator Patty Murray (WA)\n""}}],""text"":""Lately we've heard a lot of talk from Republicans about how they want to support women &amp; families.\n\nWell here's their chance to prove it by supporting my straightforward bill w/ @SenTinaSmith that expands access to #TitleX family planning services. https://t.co/Kl7Isdm4Py"",""referenced_tweets"":[{""type"":""quoted"",""id"":""1549412975315927044""}],""possibly_sensitive"":false,""created_at"":""2022-07-19T15:18:40.000Z"",""conversation_id"":""1549413418888843265""}]",,
"1549413640608124929","RT @SenTinaSmith: I’m going LIVE with @PattyMurray to push for increased funding for family planning + preventive health services.

Republi…","2022-07-19T15:19:33.000Z","1074518754",,"en","{""entities"":{""url"":{""urls"":[{""start"":0,""end"":22,""url"":""http://t.co/p7vErFeoRD"",""expanded_url"":""http://www.baldwin.senate.gov/"",""display_url"":""baldwin.senate.gov""}]}},""protected"":false,""profile_image_url"":""https://pbs.twimg.com/profile_images/1267871657332531202/PStp0GRz_normal.jpg"",""verified"":true,""id"":""1074518754"",""name"":""Sen. Tammy Baldwin"",""public_metrics"":{""followers_count"":148050,""following_count"":2717,""tweet_count"":17974,""listed_count"":2582},""url"":""http://t.co/p7vErFeoRD"",""description"":""Official Twitter account of United States Senator Tammy Baldwin's office, proudly working for the State of Wisconsin."",""location"":""Washington, D.C."",""created_at"":""2013-01-09T18:29:44.000Z"",""username"":""SenatorBaldwin""}","{""mentions"":[{""start"":3,""end"":16,""username"":""SenTinaSmith"",""id"":""941000686275387392""},{""start"":38,""end"":50,""username"":""PattyMurray"",""id"":""293131808""}]}","[{""type"":""retweeted"",""id"":""1549412975315927044"",""source"":""Twitter Media Studio"",""author_id"":""941000686275387392"",""reply_settings"":""everyone"",""public_metrics"":{""retweet_count"":32,""reply_count"":8,""like_count"":111,""quote_count"":6},""entities"":{""mentions"":[{""start"":20,""end"":32,""username"":""PattyMurray"",""id"":""293131808""}],""annotations"":[{""start"":114,""end"":124,""probability"":0.4777,""type"":""Organization"",""normalized_text"":""Republicans""}],""urls"":[{""start"":238,""end"":261,""url"":""https://t.co/Lq57EHqcJQ"",""expanded_url"":""https://twitter.com/i/broadcasts/1djxXPlvqZVxZ"",""display_url"":""twitter.com/i/broadcasts/1…"",""images"":[{""url"":""https://pbs.twimg.com/news_img/1551246847641096192/ZKUYmXN5?format=jpg&name=orig"",""width"":1920,""height"":1080},{""url"":""https://pbs.twimg.com/news_img/1551246847641096192/ZKUYmXN5?format=jpg&name=150x150"",""width"":150,""height"":150}],""status"":200,""title"":""Senator Tina Smith"",""description"":""Expanding Access to Family Planning Act Press Conference"",""unwound_url"":""https://twitter.com/i/broadcasts/1djxXPlvqZVxZ""}]},""lang"":""en"",""context_annotations"":[{""domain"":{""id"":""10"",""name"":""Person"",""description"":""Named people in the world like Nelson Mandela""},""entity"":{""id"":""940982806661840896"",""name"":""Tina Smith"",""description"":""US Senator Tina Smith (MN)""}},{""domain"":{""id"":""35"",""name"":""Politician"",""description"":""Politicians in the world, like Joe Biden""},""entity"":{""id"":""940982806661840896"",""name"":""Tina Smith"",""description"":""US Senator Tina Smith (MN)""}},{""domain"":{""id"":""10"",""name"":""Person"",""description"":""Named people in the world like Nelson Mandela""},""entity"":{""id"":""888186501418205185"",""name"":""Patty Murray"",""description"":""US Senator Patty Murray (WA)\n""}},{""domain"":{""id"":""35"",""name"":""Politician"",""description"":""Politicians in the world, like Joe Biden""},""entity"":{""id"":""888186501418205185"",""name"":""Patty Murray"",""description"":""US Senator Patty Murray (WA)\n""}}],""text"":""I’m going LIVE with @PattyMurray to push for increased funding for family planning + preventive health services.\n\nRepublicans are turning their backs on women who rely on these clinics - but we’re still fighting for reproductive choice.\n https://t.co/Lq57EHqcJQ"",""possibly_sensitive"":false,""created_at"":""2022-07-19T15:16:54.000Z"",""conversation_id"":""1549412975315927044""}]",,
"1549156598198722562","We spend far more money paying for the intensive health care for premature born babies or birth complication than we would in expanding health care to prevent the premature births and insure healthy pregnancies in the first place. Pro-life!? No. This is just wrong in every way.","2022-07-18T22:18:09.000Z","15808765","15808765","en","{""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/fqpyg9EaB7"",""expanded_url"":""http://corybooker.com"",""display_url"":""corybooker.com""}]}},""protected"":false,""profile_image_url"":""https://pbs.twimg.com/profile_images/1296891138532679680/8axGb9ml_normal.jpg"",""verified"":true,""id"":""15808765"",""name"":""Cory Booker"",""public_metrics"":{""followers_count"":4935486,""following_count"":87197,""tweet_count"":67361,""listed_count"":19412},""url"":""https://t.co/fqpyg9EaB7"",""description"":""U.S. Senator from New Jersey. Most tweets (and typos) are mine, some are my team’s. He/him."",""location"":""Newark, NJ"",""created_at"":""2008-08-11T14:41:16.000Z"",""username"":""CoryBooker""}",,"[{""type"":""replied_to"",""id"":""1549156596839845893"",""source"":""Twitter for iPhone"",""author_id"":""15808765"",""reply_settings"":""everyone"",""in_reply_to_user_id"":""15808765"",""public_metrics"":{""retweet_count"":48,""reply_count"":17,""like_count"":414,""quote_count"":1},""lang"":""en"",""context_annotations"":[{""domain"":{""id"":""10"",""name"":""Person"",""description"":""Named people in the world like Nelson Mandela""},""entity"":{""id"":""877695885718601728"",""name"":""Cory Booker"",""description"":""US Senator Cory Booker (NJ)""}},{""domain"":{""id"":""35"",""name"":""Politician"",""description"":""Politicians in the world, like Joe Biden""},""entity"":{""id"":""877695885718601728"",""name"":""Cory Booker"",""description"":""US Senator Cory Booker (NJ)""}}],""text"":""The truth is they purport to be pro-life, yet time and again they oppose policies that will protect the life and safety of children and mothers. This is not pro-life. It is not even fiscal responsibility."",""referenced_tweets"":[{""type"":""replied_to"",""id"":""1549156593736056834""}],""possibly_sensitive"":false,""created_at"":""2022-07-18T22:18:09.000Z"",""conversation_id"":""1549156593736056834""}]",,
