id,text,created_at,author_id,in_reply_to_user_id,lang,author,entities,referenced_tweets,media,geo
"1550548569672847361","Caring for the well-being of our children begins long before a baby is born. It begins at the first moment of life – conception – and fathers have obligations during pregnancy. 

That’s why I introduced the Unborn Child Support Act, ensuring mothers get payments they truly need. https://t.co/LRlQ86qBkd","2022-07-22T18:29:21.000Z","1048784496",,"en","{""pinned_tweet_id"":""1140781317392666625"",""created_at"":""2012-12-30T20:54:06.000Z"",""protected"":false,""verified"":true,""public_metrics"":{""followers_count"":32112,""following_count"":604,""tweet_count"":8272,""listed_count"":1146},""url"":""https://t.co/M4l7PNHhUi"",""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/M4l7PNHhUi"",""expanded_url"":""http://cramer.senate.gov"",""display_url"":""cramer.senate.gov""}]}},""description"":""Representing the great people of North Dakota in the United States Senate."",""id"":""1048784496"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1090267977675460610/nQWIQ0ot_normal.jpg"",""name"":""Sen. Kevin Cramer"",""username"":""SenKevinCramer""}","{""urls"":[{""start"":280,""end"":303,""url"":""https://t.co/LRlQ86qBkd"",""expanded_url"":""https://twitter.com/SenKevinCramer/status/1550548569672847361/photo/1"",""display_url"":""pic.twitter.com/LRlQ86qBkd"",""media_key"":""3_1550548118525153281""}]}",,"[{""media_key"":""3_1550548118525153281"",""type"":""photo""}]",
"1550517789760180224","The Court is supposed to be insulated from popular opinion, unlike elected officials. 

I am sure that when Roe v. Wade was decided she did not believe the Court was in jeopardy - even though millions disagreed with the decision.","2022-07-22T16:27:02.000Z","432895323","432895323","en","{""created_at"":""2011-12-09T22:21:03.000Z"",""protected"":false,""verified"":true,""public_metrics"":{""followers_count"":2131405,""following_count"":2033,""tweet_count"":14056,""listed_count"":9068},""url"":""https://t.co/bM2rOxm6ub"",""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/bM2rOxm6ub"",""expanded_url"":""http://www.lindseygraham.com"",""display_url"":""lindseygraham.com""}]}},""location"":""South Carolina"",""description"":""The official Twitter feed for United States Senator Lindsey Graham."",""id"":""432895323"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1235299656063733760/b1RnM8w3_normal.jpg"",""name"":""Lindsey Graham"",""username"":""LindseyGrahamSC""}","{""annotations"":[{""start"":108,""end"":110,""probability"":0.8143,""type"":""Person"",""normalized_text"":""Roe""},{""start"":115,""end"":118,""probability"":0.9082,""type"":""Person"",""normalized_text"":""Wade""}]}","[{""type"":""replied_to"",""id"":""1550517520662417409"",""source"":""TweetDeck"",""entities"":{""annotations"":[{""start"":45,""end"":57,""probability"":0.8175,""type"":""Person"",""normalized_text"":""Justice Kagan""}],""urls"":[{""start"":254,""end"":277,""url"":""https://t.co/KGNfrzZQbG"",""expanded_url"":""https://www.washingtonexaminer.com/policy/courts/kagan-warns-supreme-court-lose-legitimacy-strays-public-sentiment"",""display_url"":""washingtonexaminer.com/policy/courts/…"",""images"":[{""url"":""https://pbs.twimg.com/news_img/1550495629889126407/-y1lUak4?format=jpg&name=orig"",""width"":1200,""height"":675},{""url"":""https://pbs.twimg.com/news_img/1550495629889126407/-y1lUak4?format=jpg&name=150x150"",""width"":150,""height"":150}],""status"":200,""title"":""Kagan warns Supreme Court will lose legitimacy if it strays from ‘public sentiment’"",""description"":""The Supreme Court may lose its legitimacy if it strays too far from public sentiment, according to Justice Elena Kagan."",""unwound_url"":""https://www.washingtonexaminer.com/policy/courts/kagan-warns-supreme-court-lose-legitimacy-strays-public-sentiment""}]},""reply_settings"":""everyone"",""lang"":""en"",""conversation_id"":""1550517520662417409"",""author_id"":""432895323"",""possibly_sensitive"":false,""text"":""Respectfully, I could not disagree more with Justice Kagan’s statements about the legitimacy of the Supreme Court.  \n\nShe is suggesting, in my opinion, conservative decisions undoing liberal, unconstitutional overreaches delegitimize the Supreme Court.\n\nhttps://t.co/KGNfrzZQbG"",""created_at"":""2022-07-22T16:25:58.000Z"",""public_metrics"":{""retweet_count"":40,""reply_count"":358,""like_count"":269,""quote_count"":27},""context_annotations"":[{""domain"":{""id"":""10"",""name"":""Person"",""description"":""Named people in the world like Nelson Mandela""},""entity"":{""id"":""10038636953"",""name"":""Lindsey Graham"",""description"":""Senator Lindsey Graham (SC)""}},{""domain"":{""id"":""10"",""name"":""Person"",""description"":""Named people in the world like Nelson Mandela""},""entity"":{""id"":""867887467902283776"",""name"":""Elena Kagan"",""description"":""US Supreme Court Justice Elena Kagan""}},{""domain"":{""id"":""35"",""name"":""Politician"",""description"":""Politicians in the world, like Joe Biden""},""entity"":{""id"":""10038636953"",""name"":""Lindsey Graham"",""description"":""Senator Lindsey Graham (SC)""}},{""domain"":{""id"":""35"",""name"":""Politician"",""description"":""Politicians in the world, like Joe Biden""},""entity"":{""id"":""867887467902283776"",""name"":""Elena Kagan"",""description"":""US Supreme Court Justice Elena Kagan""}},{""domain"":{""id"":""88"",""name"":""Political Body"",""description"":""A section of a government, like The Supreme Court""},""entity"":{""id"":""867872043672326144"",""name"":""Supreme Court of the United States"",""description"":""Conversation about the Supreme Court and justices""}}]}]",,
"1550507764312580096","I'm with President Biden: suspend the filibuster to codify women's full reproductive rights.","2022-07-22T15:47:12.000Z","1058520120",,"en","{""pinned_tweet_id"":""1544772131346694144"",""created_at"":""2013-01-03T18:59:33.000Z"",""protected"":false,""verified"":true,""public_metrics"":{""followers_count"":775902,""following_count"":7404,""tweet_count"":10720,""listed_count"":4112},""url"":""https://t.co/xpVoZZWkQx"",""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/xpVoZZWkQx"",""expanded_url"":""http://duckworth.senate.gov"",""display_url"":""duckworth.senate.gov""}]}},""description"":""Official Twitter account for U.S. Senator Tammy Duckworth. For more information, visit"",""id"":""1058520120"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1420436702007644163/Ioaqdwi0_normal.jpg"",""name"":""Tammy Duckworth"",""username"":""SenDuckworth""}","{""annotations"":[{""start"":9,""end"":23,""probability"":0.9,""type"":""Person"",""normalized_text"":""President Biden""}]}",,,
"1550270874032521217","In honor of our pro-lifer fighters, I’m pushing to designate June as the “Month of Life.” https://t.co/2qPBOazt9M","2022-07-22T00:05:53.000Z","2856787757",,"en","{""created_at"":""2014-11-02T13:32:54.000Z"",""protected"":false,""verified"":true,""public_metrics"":{""followers_count"":142543,""following_count"":161,""tweet_count"":8654,""listed_count"":1915},""url"":""http://t.co/zUYK5PQEOd"",""entities"":{""url"":{""urls"":[{""start"":0,""end"":22,""url"":""http://t.co/zUYK5PQEOd"",""expanded_url"":""http://Ernst.Senate.Gov"",""display_url"":""Ernst.Senate.Gov""}]}},""location"":""Iowa"",""description"":""Follow for news and updates from the Office of Iowa Senator Joni K. Ernst. Tweets from Joni are signed JKE."",""id"":""2856787757"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1191837105045098501/bXu9BM8A_normal.jpg"",""name"":""Joni Ernst"",""username"":""SenJoniErnst""}","{""urls"":[{""start"":90,""end"":113,""url"":""https://t.co/2qPBOazt9M"",""expanded_url"":""https://www.ernst.senate.gov/news/press-releases/celebrating-major-pro-life-victory-ernst-moves-to-designate-june-as-the-month-of-life"",""display_url"":""ernst.senate.gov/news/press-rel…"",""images"":[{""url"":""https://pbs.twimg.com/news_img/1550270874900725760/0m2oWAP2?format=png&name=orig"",""width"":1200,""height"":630},{""url"":""https://pbs.twimg.com/news_img/1550270874900725760/0m2oWAP2?format=png&name=150x150"",""width"":150,""height"":150}],""status"":200,""title"":""Celebrating Major Pro-Life Victory, Ernst Moves to Designate June as the “Month of Life” | U.S. Senator Joni Ernst of Iowa"",""description"":""WASHINGTON – In celebration of the recent decision by the U.S. Supreme Court to overturn Roe v...."",""unwound_url"":""https://www.ernst.senate.gov/news/press-releases/celebrating-major-pro-life-victory-ernst-moves-to-designate-june-as-the-month-of-life""}]}",,,
"1550262093592645639","Anyone should be able to travel to pro-choice states like Nevada for reproductive care without being punished. But Republicans blocked my bill to reaffirm the constitutional right for women to travel for the health care they need. I won't back down from protecting women's rights. https://t.co/YY7swZlmQU","2022-07-21T23:31:00.000Z","811313565760163844",,"en","{""pinned_tweet_id"":""1547614222535733252"",""created_at"":""2016-12-20T20:53:22.000Z"",""protected"":false,""verified"":true,""public_metrics"":{""followers_count"":66658,""following_count"":930,""tweet_count"":10960,""listed_count"":1415},""url"":""https://t.co/v6sRnbH7nI"",""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/v6sRnbH7nI"",""expanded_url"":""http://cortezmasto.senate.gov"",""display_url"":""cortezmasto.senate.gov""}]}},""description"":""U.S. Senator from the great state of Nevada."",""id"":""811313565760163844"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1296092531566968832/A05aIYcg_normal.jpg"",""name"":""Senator Cortez Masto"",""username"":""SenCortezMasto""}","{""annotations"":[{""start"":58,""end"":63,""probability"":0.9798,""type"":""Place"",""normalized_text"":""Nevada""},{""start"":115,""end"":125,""probability"":0.7407,""type"":""Organization"",""normalized_text"":""Republicans""}],""urls"":[{""start"":281,""end"":304,""url"":""https://t.co/YY7swZlmQU"",""expanded_url"":""https://twitter.com/SenCortezMasto/status/1550262093592645639/video/1"",""display_url"":""pic.twitter.com/YY7swZlmQU"",""media_key"":""13_1550244642557464576""}]}",,"[{""media_key"":""13_1550244642557464576"",""type"":""video""}]",
"1550220364105515009","Without Roe v. Wade, we must do all we can to ensure women have access to the healthcare they need. I’m glad @HHSGov is acting to protect birth control, plan B and other contraception for Americans in red and blue states alike. It's the right thing to do.
https://t.co/qXavmrGgC6","2022-07-21T20:45:11.000Z","1058520120",,"en","{""pinned_tweet_id"":""1544772131346694144"",""created_at"":""2013-01-03T18:59:33.000Z"",""protected"":false,""verified"":true,""public_metrics"":{""followers_count"":775902,""following_count"":7404,""tweet_count"":10720,""listed_count"":4112},""url"":""https://t.co/xpVoZZWkQx"",""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/xpVoZZWkQx"",""expanded_url"":""http://duckworth.senate.gov"",""display_url"":""duckworth.senate.gov""}]}},""description"":""Official Twitter account for U.S. Senator Tammy Duckworth. For more information, visit"",""id"":""1058520120"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1420436702007644163/Ioaqdwi0_normal.jpg"",""name"":""Tammy Duckworth"",""username"":""SenDuckworth""}","{""mentions"":[{""start"":109,""end"":116,""username"":""HHSGov"",""id"":""44783853""}],""annotations"":[{""start"":8,""end"":10,""probability"":0.5044,""type"":""Person"",""normalized_text"":""Roe""},{""start"":15,""end"":18,""probability"":0.467,""type"":""Person"",""normalized_text"":""Wade""}],""urls"":[{""start"":256,""end"":279,""url"":""https://t.co/qXavmrGgC6"",""expanded_url"":""https://19thnews.org/2022/07/pharmacies-birth-control-prescriptions-emergency-contraception/"",""display_url"":""19thnews.org/2022/07/pharma…"",""status"":200,""title"":""Pharmacies can’t deny prescription birth control or emergency contraception, Biden administration says"",""description"":""Refusing patients prescription medications because of their potential pregnancy status could violate federal anti-discrimination law, per new federal guidance."",""unwound_url"":""https://19thnews.org/2022/07/pharmacies-birth-control-prescriptions-emergency-contraception/""}]}",,,
"1550159726352252928","RT @SenTinaSmith: Tune in as Senate Democrats push to pass the Expanding Access to Family Planning Act.

It would provide funding for a ful…","2022-07-21T16:44:13.000Z","811313565760163844",,"en","{""pinned_tweet_id"":""1547614222535733252"",""created_at"":""2016-12-20T20:53:22.000Z"",""protected"":false,""verified"":true,""public_metrics"":{""followers_count"":66658,""following_count"":930,""tweet_count"":10960,""listed_count"":1415},""url"":""https://t.co/v6sRnbH7nI"",""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/v6sRnbH7nI"",""expanded_url"":""http://cortezmasto.senate.gov"",""display_url"":""cortezmasto.senate.gov""}]}},""description"":""U.S. Senator from the great state of Nevada."",""id"":""811313565760163844"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1296092531566968832/A05aIYcg_normal.jpg"",""name"":""Senator Cortez Masto"",""username"":""SenCortezMasto""}","{""mentions"":[{""start"":3,""end"":16,""username"":""SenTinaSmith"",""id"":""941000686275387392""}],""annotations"":[{""start"":29,""end"":44,""probability"":0.8042,""type"":""Organization"",""normalized_text"":""Senate Democrats""}]}","[{""type"":""retweeted"",""id"":""1550157515555590145"",""source"":""Twitter Media Studio"",""entities"":{""annotations"":[{""start"":11,""end"":26,""probability"":0.7828,""type"":""Organization"",""normalized_text"":""Senate Democrats""}],""urls"":[{""start"":208,""end"":231,""url"":""https://t.co/pJFxGww2RG"",""expanded_url"":""https://twitter.com/i/broadcasts/1YpKkZgQWRXxj"",""display_url"":""twitter.com/i/broadcasts/1…"",""images"":[{""url"":""https://pbs.twimg.com/news_img/1551249105095036933/z-8E2MWi?format=jpg&name=orig"",""width"":1920,""height"":1080},{""url"":""https://pbs.twimg.com/news_img/1551249105095036933/z-8E2MWi?format=jpg&name=150x150"",""width"":150,""height"":150}],""status"":200,""title"":""Senator Tina Smith"",""description"":""Expanding Access to Family Planning Act Floor Action"",""unwound_url"":""https://twitter.com/i/broadcasts/1YpKkZgQWRXxj""}]},""reply_settings"":""everyone"",""lang"":""en"",""conversation_id"":""1550157515555590145"",""author_id"":""941000686275387392"",""possibly_sensitive"":false,""text"":""Tune in as Senate Democrats push to pass the Expanding Access to Family Planning Act.\n\nIt would provide funding for a full range of reproductive care options—things like birth control and cancer screenings.  https://t.co/pJFxGww2RG"",""created_at"":""2022-07-21T16:35:26.000Z"",""public_metrics"":{""retweet_count"":32,""reply_count"":7,""like_count"":107,""quote_count"":7},""context_annotations"":[{""domain"":{""id"":""10"",""name"":""Person"",""description"":""Named people in the world like Nelson Mandela""},""entity"":{""id"":""940982806661840896"",""name"":""Tina Smith"",""description"":""US Senator Tina Smith (MN)""}},{""domain"":{""id"":""35"",""name"":""Politician"",""description"":""Politicians in the world, like Joe Biden""},""entity"":{""id"":""940982806661840896"",""name"":""Tina Smith"",""description"":""US Senator Tina Smith (MN)""}},{""domain"":{""id"":""88"",""name"":""Political Body"",""description"":""A section of a government, like The Supreme Court""},""entity"":{""id"":""961705302700654593"",""name"":""United States Congress"",""description"":""United States Congress""}},{""domain"":{""id"":""88"",""name"":""Political Body"",""description"":""A section of a government, like The Supreme Court""},""entity"":{""id"":""877326946253684737"",""name"":""United States Senate"",""description"":""United States Senate""}},{""domain"":{""id"":""88"",""name"":""Political Body"",""description"":""A section of a government, like The Supreme Court""},""entity"":{""id"":""961705302700654593"",""name"":""United States Congress"",""description"":""United States Congress""}}]}]",,
"1550142220979822593","Americans are facing staggering challenges right now. 

I'm pushing for a safer, more affordable and more equal nation every single day.
https://t.co/88Kz4pTWwI","2022-07-21T15:34:40.000Z","1058520120",,"en","{""pinned_tweet_id"":""1544772131346694144"",""created_at"":""2013-01-03T18:59:33.000Z"",""protected"":false,""verified"":true,""public_metrics"":{""followers_count"":775902,""following_count"":7404,""tweet_count"":10720,""listed_count"":4112},""url"":""https://t.co/xpVoZZWkQx"",""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/xpVoZZWkQx"",""expanded_url"":""http://duckworth.senate.gov"",""display_url"":""duckworth.senate.gov""}]}},""description"":""Official Twitter account for U.S. Senator Tammy Duckworth. For more information, visit"",""id"":""1058520120"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1420436702007644163/Ioaqdwi0_normal.jpg"",""name"":""Tammy Duckworth"",""username"":""SenDuckworth""}","{""urls"":[{""start"":137,""end"":160,""url"":""https://t.co/88Kz4pTWwI"",""expanded_url"":""https://news.wttw.com/2022/07/14/one-one-sen-tammy-duckworth-guns-abortion-rights"",""display_url"":""news.wttw.com/2022/07/14/one…"",""images"":[{""url"":""https://pbs.twimg.com/news_img/1547962947934224384/EHrg3uAd?format=jpg&name=orig"",""width"":1824,""height"":1026},{""url"":""https://pbs.twimg.com/news_img/1547962947934224384/EHrg3uAd?format=jpg&name=150x150"",""width"":150,""height"":150}],""status"":200,""title"":""One-on-One with Sen. Tammy Duckworth on Guns, Abortion Rights"",""description"":""U.S. Sen. Tammy Duckworth, alongside Sen. Dick Durbin, met with residents and members of March Fourth, a gun safety advocacy group, Tuesday to hear more about their experiences as well as discuss policy solutions."",""unwound_url"":""https://news.wttw.com/2022/07/14/one-one-sen-tammy-duckworth-guns-abortion-rights""}]}",,,
"1549817933953638417","On #BumpDay—and every day—hopeful parents deserve healthy pregnancies, safe births and the best healthcare possible. We can do more to provide all families with the support they deserve through it all, like building on the maternal health provisions in the American Rescue Plan.","2022-07-20T18:06:04.000Z","1058520120",,"en","{""pinned_tweet_id"":""1544772131346694144"",""created_at"":""2013-01-03T18:59:33.000Z"",""protected"":false,""verified"":true,""public_metrics"":{""followers_count"":775902,""following_count"":7404,""tweet_count"":10720,""listed_count"":4112},""url"":""https://t.co/xpVoZZWkQx"",""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/xpVoZZWkQx"",""expanded_url"":""http://duckworth.senate.gov"",""display_url"":""duckworth.senate.gov""}]}},""description"":""Official Twitter account for U.S. Senator Tammy Duckworth. For more information, visit"",""id"":""1058520120"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1420436702007644163/Ioaqdwi0_normal.jpg"",""name"":""Tammy Duckworth"",""username"":""SenDuckworth""}","{""hashtags"":[{""start"":3,""end"":11,""tag"":""BumpDay""}]}",,,
"1549570284851789826","Proud to join my Democratic colleagues in fighting to protect reproductive services by introducing a bill to expand the Title X Family Planning Program. #TitleX provides access to birth control, cancer screenings, HIV tests, and more. I'll keep fighting for women's rights.","2022-07-20T01:42:00.000Z","811313565760163844",,"en","{""pinned_tweet_id"":""1547614222535733252"",""created_at"":""2016-12-20T20:53:22.000Z"",""protected"":false,""verified"":true,""public_metrics"":{""followers_count"":66658,""following_count"":930,""tweet_count"":10960,""listed_count"":1415},""url"":""https://t.co/v6sRnbH7nI"",""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/v6sRnbH7nI"",""expanded_url"":""http://cortezmasto.senate.gov"",""display_url"":""cortezmasto.senate.gov""}]}},""description"":""U.S. Senator from the great state of Nevada."",""id"":""811313565760163844"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1296092531566968832/A05aIYcg_normal.jpg"",""name"":""Senator Cortez Masto"",""username"":""SenCortezMasto""}","{""annotations"":[{""start"":214,""end"":216,""probability"":0.5173,""type"":""Other"",""normalized_text"":""HIV""}],""hashtags"":[{""start"":153,""end"":160,""tag"":""TitleX""}]}",,,
