id,text,created_at,author_id,in_reply_to_user_id,lang,author,entities,referenced_tweets,media,geo
"1550874801153216513","RT @jackhunter74: “That’s why ⁦@RandPaul⁩ &amp; ⁦@CoryBooker⁩ have teamed up on the Right to Try Clarification Act.

Under current Right to Try…","2022-07-23T16:05:41.000Z","216881337",,"en","{""url"":""https://t.co/DUHX2tAy71"",""id"":""216881337"",""created_at"":""2010-11-17T23:52:35.000Z"",""description"":""U.S. Senator for Kentucky | I fight for the Constitution, individual liberty and the freedoms that make this country great."",""verified"":true,""username"":""RandPaul"",""protected"":false,""profile_image_url"":""https://pbs.twimg.com/profile_images/681152691461042177/_PrgDgFA_normal.jpg"",""public_metrics"":{""followers_count"":4004995,""following_count"":564,""tweet_count"":16086,""listed_count"":14383},""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/DUHX2tAy71"",""expanded_url"":""http://randpaul.com"",""display_url"":""randpaul.com""}]}},""location"":""Bowling Green, KY"",""name"":""Rand Paul""}","{""mentions"":[{""start"":3,""end"":16,""username"":""jackhunter74"",""id"":""17823790""},{""start"":31,""end"":40,""username"":""RandPaul"",""id"":""216881337""},{""start"":49,""end"":60,""username"":""CoryBooker"",""id"":""15808765""}]}","[{""type"":""retweeted"",""id"":""1550870551912239104"",""context_annotations"":[{""domain"":{""id"":""10"",""name"":""Person"",""description"":""Named people in the world like Nelson Mandela""},""entity"":{""id"":""10037721464"",""name"":""Rand Paul"",""description"":""Senator Rand Paul (KY)""}},{""domain"":{""id"":""10"",""name"":""Person"",""description"":""Named people in the world like Nelson Mandela""},""entity"":{""id"":""877695885718601728"",""name"":""Cory Booker"",""description"":""US Senator Cory Booker (NJ)""}},{""domain"":{""id"":""35"",""name"":""Politician"",""description"":""Politicians in the world, like Joe Biden""},""entity"":{""id"":""10037721464"",""name"":""Rand Paul"",""description"":""Senator Rand Paul (KY)""}},{""domain"":{""id"":""35"",""name"":""Politician"",""description"":""Politicians in the world, like Joe Biden""},""entity"":{""id"":""877695885718601728"",""name"":""Cory Booker"",""description"":""US Senator Cory Booker (NJ)""}}],""created_at"":""2022-07-23T15:48:48.000Z"",""source"":""Twitter for iPhone"",""entities"":{""urls"":[{""start"":243,""end"":266,""url"":""https://t.co/sdtdUwfmzS"",""expanded_url"":""https://www.based-politics.com/2022/07/23/we-need-to-amend-the-right-to-try-act/"",""display_url"":""based-politics.com/2022/07/23/we-…"",""images"":[{""url"":""https://pbs.twimg.com/news_img/1550856395314135046/DXvHGMNi?format=jpg&name=orig"",""width"":1920,""height"":1080},{""url"":""https://pbs.twimg.com/news_img/1550856395314135046/DXvHGMNi?format=jpg&name=150x150"",""width"":150,""height"":150}],""status"":200,""title"":""We Need to Amend the Right to Try Act"",""description"":""Another reason the War on Drugs must go."",""unwound_url"":""https://www.based-politics.com/2022/07/23/we-need-to-amend-the-right-to-try-act/""}],""mentions"":[{""start"":13,""end"":22,""username"":""RandPaul"",""id"":""216881337""},{""start"":31,""end"":42,""username"":""CoryBooker"",""id"":""15808765""},{""start"":230,""end"":241,""username"":""HannahDCox"",""id"":""331464013""}]},""public_metrics"":{""retweet_count"":147,""reply_count"":67,""like_count"":809,""quote_count"":13},""reply_settings"":""everyone"",""author_id"":""17823790"",""text"":""“That’s why ⁦@RandPaul⁩ &amp; ⁦@CoryBooker⁩ have teamed up on the Right to Try Clarification Act.\n\nUnder current Right to Try law, patients with life-threatening illness can access medications that haven’t received FDA approval” ⁦@HannahDCox⁩ https://t.co/sdtdUwfmzS"",""lang"":""en"",""possibly_sensitive"":false,""conversation_id"":""1550870551912239104""}]",,
"1550583130502881280","Unbelievable! Not only are Republicans anti-choice but almost all of them in the House just voted against Americans, women and men, having the right to contraception. While the whole world laughs, they want to take us back to the 1800s. Ain't gonna happen. https://t.co/9nxWjqkvit","2022-07-22T20:46:41.000Z","29442313",,"en","{""url"":""https://t.co/8AS4FHJNoG"",""id"":""29442313"",""created_at"":""2009-04-07T13:02:35.000Z"",""description"":""U.S. Senator Bernie Sanders of Vermont, Chair of the Senate Budget Committee, is the longest-serving independent in congressional history."",""verified"":true,""username"":""SenSanders"",""protected"":false,""profile_image_url"":""https://pbs.twimg.com/profile_images/794619281271033856/Fs0QQaH7_normal.jpg"",""public_metrics"":{""followers_count"":12568681,""following_count"":2324,""tweet_count"":23290,""listed_count"":27842},""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/8AS4FHJNoG"",""expanded_url"":""http://www.sanders.senate.gov/"",""display_url"":""sanders.senate.gov""}]}},""location"":""Vermont/DC"",""name"":""Bernie Sanders""}","{""urls"":[{""start"":257,""end"":280,""url"":""https://t.co/9nxWjqkvit"",""expanded_url"":""https://twitter.com/AOC/status/1550255852745113600"",""display_url"":""twitter.com/AOC/status/155…""}],""annotations"":[{""start"":27,""end"":37,""probability"":0.7147,""type"":""Organization"",""normalized_text"":""Republicans""}]}","[{""type"":""quoted"",""id"":""1550255852745113600"",""context_annotations"":[{""domain"":{""id"":""10"",""name"":""Person"",""description"":""Named people in the world like Nelson Mandela""},""entity"":{""id"":""1011963575089262593"",""name"":""Alexandria Ocasio-Cortez"",""description"":""US Representative from New York Alexandria Ocasio-Cortez""}},{""domain"":{""id"":""35"",""name"":""Politician"",""description"":""Politicians in the world, like Joe Biden""},""entity"":{""id"":""1011963575089262593"",""name"":""Alexandria Ocasio-Cortez"",""description"":""US Representative from New York Alexandria Ocasio-Cortez""}}],""attachments"":{""media_keys"":[""3_1550255849901268995""]},""created_at"":""2022-07-21T23:06:12.000Z"",""source"":""Twitter for iPhone"",""entities"":{""urls"":[{""start"":280,""end"":303,""url"":""https://t.co/Ve0AWaKemU"",""expanded_url"":""https://twitter.com/AOC/status/1550255852745113600/photo/1"",""display_url"":""pic.twitter.com/Ve0AWaKemU"",""media_key"":""3_1550255849901268995""}],""annotations"":[{""start"":19,""end"":29,""probability"":0.8572,""type"":""Organization"",""normalized_text"":""Republicans""}]},""public_metrics"":{""retweet_count"":15020,""reply_count"":6026,""like_count"":100071,""quote_count"":1175},""reply_settings"":""everyone"",""author_id"":""138203134"",""text"":""OK, so not only do Republicans want to institute a federal ban on abortion, but today 195 of them voted against codifying the right to contraception.\n\nOnly 8 voted yes. (Every Dem was a yes).\n\nThis was not a “gotcha” bill with a bunch of stuff btw. It was pretty straightforward. https://t.co/Ve0AWaKemU"",""lang"":""en"",""possibly_sensitive"":false,""conversation_id"":""1550255852745113600""}]",,
"1550578955484274689","Patients are already seeing the devastating and dangerous effects of Republicans’ cruel abortion bans. This is life or death—no one should be denied the abortion care they need. https://t.co/pWP6QUZ8K1","2022-07-22T20:30:06.000Z","293131808",,"en","{""url"":""https://t.co/RgQK2NNlz5"",""id"":""293131808"",""created_at"":""2011-05-04T20:23:35.000Z"",""description"":""U.S. Senator, Washington state | @HELPCmteDems Chair | Assistant Democratic Leader | Working every day for WA families | she/her/hers"",""verified"":true,""username"":""PattyMurray"",""protected"":false,""profile_image_url"":""https://pbs.twimg.com/profile_images/1022425619597062144/WYF3RM9v_normal.jpg"",""public_metrics"":{""followers_count"":487957,""following_count"":2394,""tweet_count"":22985,""listed_count"":3894},""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/RgQK2NNlz5"",""expanded_url"":""http://murray.senate.gov/"",""display_url"":""murray.senate.gov""}]},""description"":{""mentions"":[{""start"":33,""end"":46,""username"":""HELPCmteDems""}]}},""location"":""WA & DC"",""name"":""Senator Patty Murray""}","{""urls"":[{""start"":178,""end"":201,""url"":""https://t.co/pWP6QUZ8K1"",""expanded_url"":""https://www.washingtonpost.com/health/2022/07/16/abortion-miscarriage-ectopic-pregnancy-care/"",""display_url"":""washingtonpost.com/health/2022/07…"",""images"":[{""url"":""https://pbs.twimg.com/news_img/1550868732448165894/bBFh0YCZ?format=jpg&name=orig"",""width"":1440,""height"":960},{""url"":""https://pbs.twimg.com/news_img/1550868732448165894/bBFh0YCZ?format=jpg&name=150x150"",""width"":150,""height"":150}],""status"":200,""title"":""Confusion post-Roe spurs delays, denials for some lifesaving pregnancy care"",""description"":""Miscarriages, ectopic pregnancies and other common complications are now scrutinized, jeopardizing maternal health."",""unwound_url"":""https://www.washingtonpost.com/health/2022/07/16/abortion-miscarriage-ectopic-pregnancy-care/""}],""annotations"":[{""start"":69,""end"":79,""probability"":0.6493,""type"":""Organization"",""normalized_text"":""Republicans""}]}",,,
"1550551500522491904","As a physician, I know how important Right to Try is for patients facing a life-threatening condition. I'm proud to lead this bipartisan legislation with @CoryBooker to get government out of the way! https://t.co/d9YLZhot5c","2022-07-22T18:41:00.000Z","216881337",,"en","{""url"":""https://t.co/DUHX2tAy71"",""id"":""216881337"",""created_at"":""2010-11-17T23:52:35.000Z"",""description"":""U.S. Senator for Kentucky | I fight for the Constitution, individual liberty and the freedoms that make this country great."",""verified"":true,""username"":""RandPaul"",""protected"":false,""profile_image_url"":""https://pbs.twimg.com/profile_images/681152691461042177/_PrgDgFA_normal.jpg"",""public_metrics"":{""followers_count"":4004995,""following_count"":564,""tweet_count"":16086,""listed_count"":14383},""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/DUHX2tAy71"",""expanded_url"":""http://randpaul.com"",""display_url"":""randpaul.com""}]}},""location"":""Bowling Green, KY"",""name"":""Rand Paul""}","{""urls"":[{""start"":200,""end"":223,""url"":""https://t.co/d9YLZhot5c"",""expanded_url"":""https://twitter.com/RandPaul/status/1550551500522491904/video/1"",""display_url"":""pic.twitter.com/d9YLZhot5c"",""media_key"":""13_1550519005995311105""}],""mentions"":[{""start"":154,""end"":165,""username"":""CoryBooker"",""id"":""15808765""}]}",,"[{""media_key"":""13_1550519005995311105"",""type"":""video""}]",
"1550522594918555650","This week we tried to convince Republicans, in the face of the end of Roe, to join us in increasing funds for contraception and family families. 

Republicans refused. 

@SenBlumenthal and I joined with Planned Parenthood today in Hartford to talk about it. https://t.co/0DjRF7U2WZ","2022-07-22T16:46:08.000Z","150078976",,"en","{""url"":"""",""id"":""150078976"",""created_at"":""2010-05-31T01:22:43.000Z"",""description"":""U.S. Senator from Connecticut."",""verified"":true,""username"":""ChrisMurphyCT"",""protected"":false,""profile_image_url"":""https://pbs.twimg.com/profile_images/1410747515511660547/BuMyJGhl_normal.jpg"",""public_metrics"":{""followers_count"":1123761,""following_count"":248,""tweet_count"":27901,""listed_count"":6308},""name"":""Chris Murphy""}","{""urls"":[{""start"":258,""end"":281,""url"":""https://t.co/0DjRF7U2WZ"",""expanded_url"":""https://twitter.com/ChrisMurphyCT/status/1550522594918555650/photo/1"",""display_url"":""pic.twitter.com/0DjRF7U2WZ"",""media_key"":""3_1550522591735152645""}],""annotations"":[{""start"":31,""end"":41,""probability"":0.7631,""type"":""Organization"",""normalized_text"":""Republicans""},{""start"":147,""end"":157,""probability"":0.3924,""type"":""Organization"",""normalized_text"":""Republicans""},{""start"":203,""end"":220,""probability"":0.9039,""type"":""Organization"",""normalized_text"":""Planned Parenthood""},{""start"":231,""end"":238,""probability"":0.9797,""type"":""Place"",""normalized_text"":""Hartford""}],""mentions"":[{""start"":170,""end"":184,""username"":""SenBlumenthal"",""id"":""278124059""}]}",,"[{""media_key"":""3_1550522591735152645"",""type"":""photo""}]",
"1550497216124649473","Working to achieve health equity in America has always been critical, but after the Supreme Court overturned Roe v. Wade, ensuring equitable access to safe abortion care is essential.
https://t.co/ddavCVPM3D","2022-07-22T15:05:17.000Z","1351236267707654145",,"en","{""url"":""https://t.co/OX9pgyCpJU"",""id"":""1351236267707654145"",""pinned_tweet_id"":""1506788552696287235"",""created_at"":""2021-01-18T18:34:30.000Z"",""description"":""United States Senator for California"",""verified"":true,""username"":""SenAlexPadilla"",""protected"":false,""profile_image_url"":""https://pbs.twimg.com/profile_images/1410351547964432388/VgMJmiWA_normal.jpg"",""public_metrics"":{""followers_count"":60321,""following_count"":362,""tweet_count"":2311,""listed_count"":464},""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/OX9pgyCpJU"",""expanded_url"":""http://www.padilla.senate.gov"",""display_url"":""padilla.senate.gov""}]}},""location"":""California"",""name"":""Senator Alex Padilla""}","{""urls"":[{""start"":184,""end"":207,""url"":""https://t.co/ddavCVPM3D"",""expanded_url"":""https://19thnews.org/2022/07/white-house-abortion-response-messaging-minority-groups/"",""display_url"":""19thnews.org/2022/07/white-…"",""images"":[{""url"":""https://pbs.twimg.com/news_img/1550437100704628736/E967bSPt?format=jpg&name=orig"",""width"":2560,""height"":1559},{""url"":""https://pbs.twimg.com/news_img/1550437100704628736/E967bSPt?format=jpg&name=150x150"",""width"":150,""height"":150}],""status"":200,""title"":""Advocates call for better messaging for minority groups as White House rolls out post-Roe response"",""description"":""Lawmakers and organizations are asking officials to keep in mind some of the country’s most vulnerable communities: immigrants and people of color."",""unwound_url"":""https://19thnews.org/2022/07/white-house-abortion-response-messaging-minority-groups/""}],""annotations"":[{""start"":36,""end"":42,""probability"":0.9992,""type"":""Place"",""normalized_text"":""America""},{""start"":84,""end"":96,""probability"":0.5812,""type"":""Organization"",""normalized_text"":""Supreme Court""},{""start"":116,""end"":119,""probability"":0.4081,""type"":""Person"",""normalized_text"":""Wade""}]}",,,
"1550480036083519493","Criminalizing birth control and abortion isn’t popular. 

Picking on gay kids isn’t popular. 

Banning books isn’t popular. 

Democrats need to take the fight to Republicans on their hard, mean, spiteful turn to the right.","2022-07-22T13:57:01.000Z","150078976",,"en","{""url"":"""",""id"":""150078976"",""created_at"":""2010-05-31T01:22:43.000Z"",""description"":""U.S. Senator from Connecticut."",""verified"":true,""username"":""ChrisMurphyCT"",""protected"":false,""profile_image_url"":""https://pbs.twimg.com/profile_images/1410747515511660547/BuMyJGhl_normal.jpg"",""public_metrics"":{""followers_count"":1123761,""following_count"":248,""tweet_count"":27901,""listed_count"":6308},""name"":""Chris Murphy""}","{""annotations"":[{""start"":126,""end"":134,""probability"":0.6349,""type"":""Organization"",""normalized_text"":""Democrats""},{""start"":162,""end"":172,""probability"":0.7309,""type"":""Organization"",""normalized_text"":""Republicans""}]}",,,
"1550472157083336706","RT @RepNancyMace: .@RandPaul, @CoryBooker, @RepBlumenauer &amp; I have introduced the Right to Try Clarification Act which gives patients the a…","2022-07-22T13:25:43.000Z","216881337",,"en","{""url"":""https://t.co/DUHX2tAy71"",""id"":""216881337"",""created_at"":""2010-11-17T23:52:35.000Z"",""description"":""U.S. Senator for Kentucky | I fight for the Constitution, individual liberty and the freedoms that make this country great."",""verified"":true,""username"":""RandPaul"",""protected"":false,""profile_image_url"":""https://pbs.twimg.com/profile_images/681152691461042177/_PrgDgFA_normal.jpg"",""public_metrics"":{""followers_count"":4004995,""following_count"":564,""tweet_count"":16086,""listed_count"":14383},""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/DUHX2tAy71"",""expanded_url"":""http://randpaul.com"",""display_url"":""randpaul.com""}]}},""location"":""Bowling Green, KY"",""name"":""Rand Paul""}","{""mentions"":[{""start"":3,""end"":16,""username"":""RepNancyMace"",""id"":""1343597700542038017""},{""start"":19,""end"":28,""username"":""RandPaul"",""id"":""216881337""},{""start"":30,""end"":41,""username"":""CoryBooker"",""id"":""15808765""},{""start"":43,""end"":57,""username"":""repblumenauer"",""id"":""15954997""}]}","[{""type"":""retweeted"",""id"":""1550472062438936581"",""context_annotations"":[{""domain"":{""id"":""10"",""name"":""Person"",""description"":""Named people in the world like Nelson Mandela""},""entity"":{""id"":""989579798186901504"",""name"":""Earl Blumenauer"",""description"":""US Representative Earl Blumenauer (OR-03)""}},{""domain"":{""id"":""10"",""name"":""Person"",""description"":""Named people in the world like Nelson Mandela""},""entity"":{""id"":""1271127344086872064"",""name"":""Nancy Mace""}},{""domain"":{""id"":""35"",""name"":""Politician"",""description"":""Politicians in the world, like Joe Biden""},""entity"":{""id"":""989579798186901504"",""name"":""Earl Blumenauer"",""description"":""US Representative Earl Blumenauer (OR-03)""}},{""domain"":{""id"":""35"",""name"":""Politician"",""description"":""Politicians in the world, like Joe Biden""},""entity"":{""id"":""1271127344086872064"",""name"":""Nancy Mace""}},{""domain"":{""id"":""10"",""name"":""Person"",""description"":""Named people in the world like Nelson Mandela""},""entity"":{""id"":""10037721464"",""name"":""Rand Paul"",""description"":""Senator Rand Paul (KY)""}},{""domain"":{""id"":""10"",""name"":""Person"",""description"":""Named people in the world like Nelson Mandela""},""entity"":{""id"":""877695885718601728"",""name"":""Cory Booker"",""description"":""US Senator Cory Booker (NJ)""}},{""domain"":{""id"":""35"",""name"":""Politician"",""description"":""Politicians in the world, like Joe Biden""},""entity"":{""id"":""10037721464"",""name"":""Rand Paul"",""description"":""Senator Rand Paul (KY)""}},{""domain"":{""id"":""35"",""name"":""Politician"",""description"":""Politicians in the world, like Joe Biden""},""entity"":{""id"":""877695885718601728"",""name"":""Cory Booker"",""description"":""US Senator Cory Booker (NJ)""}}],""created_at"":""2022-07-22T13:25:20.000Z"",""source"":""Twitter Web App"",""public_metrics"":{""retweet_count"":93,""reply_count"":52,""like_count"":712,""quote_count"":8},""reply_settings"":""everyone"",""author_id"":""1343597700542038017"",""text"":"".@RandPaul, @CoryBooker, @RepBlumenauer &amp; I have introduced the Right to Try Clarification Act which gives patients the ability to choose options when receiving end-of-life care, once other treatments have been exhausted."",""entities"":{""mentions"":[{""start"":1,""end"":10,""username"":""RandPaul"",""id"":""216881337""},{""start"":12,""end"":23,""username"":""CoryBooker"",""id"":""15808765""},{""start"":25,""end"":39,""username"":""repblumenauer"",""id"":""15954997""}]},""lang"":""en"",""possibly_sensitive"":false,""conversation_id"":""1550472062438936581""}]",,
"1550277049486610432","This is the leader of the national Republican pro-life movement making it perfectly clear that if Republicans with the House and Senate they are going to pass a national abortion ban.

This is happening, people. These are the stakes this November. https://t.co/auOTzwbeLf","2022-07-22T00:30:26.000Z","150078976",,"en","{""url"":"""",""id"":""150078976"",""created_at"":""2010-05-31T01:22:43.000Z"",""description"":""U.S. Senator from Connecticut."",""verified"":true,""username"":""ChrisMurphyCT"",""protected"":false,""profile_image_url"":""https://pbs.twimg.com/profile_images/1410747515511660547/BuMyJGhl_normal.jpg"",""public_metrics"":{""followers_count"":1123761,""following_count"":248,""tweet_count"":27901,""listed_count"":6308},""name"":""Chris Murphy""}","{""urls"":[{""start"":248,""end"":271,""url"":""https://t.co/auOTzwbeLf"",""expanded_url"":""https://twitter.com/marjoriesba/status/1550208852498567168"",""display_url"":""twitter.com/marjoriesba/st…""}],""annotations"":[{""start"":35,""end"":44,""probability"":0.5949,""type"":""Organization"",""normalized_text"":""Republican""},{""start"":98,""end"":108,""probability"":0.8311,""type"":""Organization"",""normalized_text"":""Republicans""},{""start"":129,""end"":134,""probability"":0.6426,""type"":""Organization"",""normalized_text"":""Senate""}]}","[{""type"":""quoted"",""id"":""1550208852498567168"",""context_annotations"":[{""domain"":{""id"":""88"",""name"":""Political Body"",""description"":""A section of a government, like The Supreme Court""},""entity"":{""id"":""961705302700654593"",""name"":""United States Congress"",""description"":""United States Congress""}}],""referenced_tweets"":[{""type"":""replied_to"",""id"":""1550208851357605889""}],""created_at"":""2022-07-21T19:59:26.000Z"",""source"":""Twitter Web App"",""public_metrics"":{""retweet_count"":23,""reply_count"":44,""like_count"":84,""quote_count"":12},""entities"":{""annotations"":[{""start"":51,""end"":73,""probability"":0.4375,""type"":""Organization"",""normalized_text"":""GOP-controlled Congress""}]},""reply_settings"":""everyone"",""author_id"":""522526229"",""text"":""The pro-life movement has full expectations that a GOP-controlled Congress will debate legislation centered on the humanity of the child, such as the child’s heartbeat and ability to feel pain. 4/"",""in_reply_to_user_id"":""522526229"",""lang"":""en"",""possibly_sensitive"":false,""conversation_id"":""1550208848958525443""}]",,
"1550260941912170496","RT @NoLieWithBTC: Check out the full interview with @ChrisMurphyCT:

WATCH: https://t.co/EUpm1uw1sv
LISTEN: https://t.co/AGFazhhQ75 https:/…","2022-07-21T23:26:25.000Z","150078976",,"en","{""url"":"""",""id"":""150078976"",""created_at"":""2010-05-31T01:22:43.000Z"",""description"":""U.S. Senator from Connecticut."",""verified"":true,""username"":""ChrisMurphyCT"",""protected"":false,""profile_image_url"":""https://pbs.twimg.com/profile_images/1410747515511660547/BuMyJGhl_normal.jpg"",""public_metrics"":{""followers_count"":1123761,""following_count"":248,""tweet_count"":27901,""listed_count"":6308},""name"":""Chris Murphy""}","{""urls"":[{""start"":76,""end"":99,""url"":""https://t.co/EUpm1uw1sv"",""expanded_url"":""https://youtu.be/ZNSMUXXM_Jk"",""display_url"":""youtu.be/ZNSMUXXM_Jk"",""status"":200,""title"":""Top Democrat issues the PERFECT takedown of Marjorie Taylor Greene"",""description"":""INTERVIEW: Brian interviews Senator Chris Murphy about leading the effort to get the new gun legislation passed, what to do about the popular provisions that..."",""unwound_url"":""https://www.youtube.com/watch?v=ZNSMUXXM_Jk&feature=youtu.be""},{""start"":108,""end"":131,""url"":""https://t.co/AGFazhhQ75"",""expanded_url"":""https://apple.co/3aJ7VA7"",""display_url"":""apple.co/3aJ7VA7"",""images"":[{""url"":""https://pbs.twimg.com/news_img/1549056213970731011/Ez9kUWB0?format=jpg&name=orig"",""width"":1200,""height"":600},{""url"":""https://pbs.twimg.com/news_img/1549056213970731011/Ez9kUWB0?format=jpg&name=150x150"",""width"":150,""height"":150}],""status"":200,""title"":""‎No Lie with Brian Tyler Cohen: Republicans pull horrific new stunt over abortion rights on Apple Podcasts"",""description"":""‎Show No Lie with Brian Tyler Cohen, Ep Republicans pull horrific new stunt over abortion rights - Jul 17, 2022"",""unwound_url"":""https://podcasts.apple.com/us/podcast/republicans-pull-horrific-new-stunt-over-abortion-rights/id1515399733?i=1000570179393""}],""mentions"":[{""start"":3,""end"":16,""username"":""NoLieWithBTC"",""id"":""1268223690480615424""},{""start"":52,""end"":66,""username"":""ChrisMurphyCT"",""id"":""150078976""}]}","[{""type"":""retweeted"",""id"":""1550238849128812546"",""context_annotations"":[{""domain"":{""id"":""10"",""name"":""Person"",""description"":""Named people in the world like Nelson Mandela""},""entity"":{""id"":""877689278679007232"",""name"":""Chris Murphy"",""description"":""US Senator Chris Murphy (CT)""}},{""domain"":{""id"":""35"",""name"":""Politician"",""description"":""Politicians in the world, like Joe Biden""},""entity"":{""id"":""877689278679007232"",""name"":""Chris Murphy"",""description"":""US Senator Chris Murphy (CT)""}}],""attachments"":{""media_keys"":[""3_1550229324984266753""]},""referenced_tweets"":[{""type"":""replied_to"",""id"":""1550238841818079232""}],""created_at"":""2022-07-21T21:58:38.000Z"",""source"":""Twitter Web App"",""entities"":{""urls"":[{""start"":58,""end"":81,""url"":""https://t.co/EUpm1uw1sv"",""expanded_url"":""https://youtu.be/ZNSMUXXM_Jk"",""display_url"":""youtu.be/ZNSMUXXM_Jk"",""status"":200,""title"":""Top Democrat issues the PERFECT takedown of Marjorie Taylor Greene"",""description"":""INTERVIEW: Brian interviews Senator Chris Murphy about leading the effort to get the new gun legislation passed, what to do about the popular provisions that..."",""unwound_url"":""https://www.youtube.com/watch?v=ZNSMUXXM_Jk&feature=youtu.be""},{""start"":90,""end"":113,""url"":""https://t.co/AGFazhhQ75"",""expanded_url"":""https://apple.co/3aJ7VA7"",""display_url"":""apple.co/3aJ7VA7"",""images"":[{""url"":""https://pbs.twimg.com/news_img/1549056213970731011/Ez9kUWB0?format=jpg&name=orig"",""width"":1200,""height"":600},{""url"":""https://pbs.twimg.com/news_img/1549056213970731011/Ez9kUWB0?format=jpg&name=150x150"",""width"":150,""height"":150}],""status"":200,""title"":""‎No Lie with Brian Tyler Cohen: Republicans pull horrific new stunt over abortion rights on Apple Podcasts"",""description"":""‎Show No Lie with Brian Tyler Cohen, Ep Republicans pull horrific new stunt over abortion rights - Jul 17, 2022"",""unwound_url"":""https://podcasts.apple.com/us/podcast/republicans-pull-horrific-new-stunt-over-abortion-rights/id1515399733?i=1000570179393""},{""start"":114,""end"":137,""url"":""https://t.co/iQmhGgPcww"",""expanded_url"":""https://twitter.com/NoLieWithBTC/status/1550238849128812546/photo/1"",""display_url"":""pic.twitter.com/iQmhGgPcww"",""media_key"":""3_1550229324984266753""}],""mentions"":[{""start"":34,""end"":48,""username"":""ChrisMurphyCT"",""id"":""150078976""}]},""public_metrics"":{""retweet_count"":18,""reply_count"":5,""like_count"":81,""quote_count"":0},""reply_settings"":""everyone"",""author_id"":""1268223690480615424"",""text"":""Check out the full interview with @ChrisMurphyCT:\n\nWATCH: https://t.co/EUpm1uw1sv\nLISTEN: https://t.co/AGFazhhQ75 https://t.co/iQmhGgPcww"",""in_reply_to_user_id"":""1268223690480615424"",""lang"":""en"",""possibly_sensitive"":false,""conversation_id"":""1550238841818079232""}]",,
