id,text,created_at,author_id,in_reply_to_user_id,lang,author,entities,referenced_tweets,media,geo
"1550605883561885697","We trust women to make their most private decisions &amp; must ensure that reproductive freedom prevails in the end. That’s why we met today with Maryland health care leaders to discuss ways to fight back against SCOTUS’ devastating ruling overturning #RoevWade. https://t.co/LL2kb0tvko","2022-07-22T22:17:06.000Z","18137749",,"en","{""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/7768eRRbar"",""expanded_url"":""https://www.vanhollen.senate.gov/coronavirus"",""display_url"":""vanhollen.senate.gov/coronavirus""}]}},""description"":""U.S. Senator for Maryland"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1207390627400441856/4WmM925x_normal.jpg"",""username"":""ChrisVanHollen"",""public_metrics"":{""followers_count"":197125,""following_count"":959,""tweet_count"":7151,""listed_count"":2569},""id"":""18137749"",""name"":""Senator Chris Van Hollen"",""url"":""https://t.co/7768eRRbar"",""location"":""Maryland, USA"",""verified"":true,""created_at"":""2008-12-15T15:00:29.000Z"",""protected"":false}","{""urls"":[{""start"":263,""end"":286,""url"":""https://t.co/LL2kb0tvko"",""expanded_url"":""https://twitter.com/ChrisVanHollen/status/1550605883561885697/photo/1"",""display_url"":""pic.twitter.com/LL2kb0tvko"",""media_key"":""3_1550605879015313410""}],""annotations"":[{""start"":142,""end"":149,""probability"":0.9104,""type"":""Place"",""normalized_text"":""Maryland""},{""start"":209,""end"":214,""probability"":0.7783,""type"":""Organization"",""normalized_text"":""SCOTUS""}],""hashtags"":[{""start"":252,""end"":261,""tag"":""RoevWade""}]}",,"[{""media_key"":""3_1550605879015313410"",""type"":""photo""}]",
"1550585977734893568","A lot to get done in the next few weeks. Looking forward to voting on CHIPS, welcoming Finland and Sweden to NATO, and getting something done on drug pricing. I’m hoping we’ll take action on codifying marriage equality and reproductive care as well. Let’s get it done.","2022-07-22T20:58:00.000Z","7429102",,"en","{""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/sIM9jRW0rP"",""expanded_url"":""http://warner.senate.gov"",""display_url"":""warner.senate.gov""}]}},""description"":""U.S. Senator from Virginia. \nChairman, Senate Intel Committee."",""profile_image_url"":""https://pbs.twimg.com/profile_images/1396933851453218819/Cdea8Hw5_normal.jpg"",""username"":""MarkWarner"",""public_metrics"":{""followers_count"":507612,""following_count"":22991,""tweet_count"":12692,""listed_count"":4900},""id"":""7429102"",""name"":""Mark Warner"",""url"":""https://t.co/sIM9jRW0rP"",""location"":""Virginia"",""verified"":true,""created_at"":""2007-07-12T14:03:33.000Z"",""protected"":false}","{""annotations"":[{""start"":70,""end"":74,""probability"":0.5532,""type"":""Organization"",""normalized_text"":""CHIPS""},{""start"":87,""end"":93,""probability"":0.9637,""type"":""Place"",""normalized_text"":""Finland""},{""start"":99,""end"":104,""probability"":0.9871,""type"":""Place"",""normalized_text"":""Sweden""},{""start"":109,""end"":112,""probability"":0.449,""type"":""Place"",""normalized_text"":""NATO""}]}",,,
"1550564587107483651","It’s frankly unbelievable that we’re living in a political climate where access to contraception – a broad range of medicines prescribed for many purposes – is a partisan issue. I fully support a woman’s right to access health care.","2022-07-22T19:33:00.000Z","7429102",,"en","{""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/sIM9jRW0rP"",""expanded_url"":""http://warner.senate.gov"",""display_url"":""warner.senate.gov""}]}},""description"":""U.S. Senator from Virginia. \nChairman, Senate Intel Committee."",""profile_image_url"":""https://pbs.twimg.com/profile_images/1396933851453218819/Cdea8Hw5_normal.jpg"",""username"":""MarkWarner"",""public_metrics"":{""followers_count"":507612,""following_count"":22991,""tweet_count"":12692,""listed_count"":4900},""id"":""7429102"",""name"":""Mark Warner"",""url"":""https://t.co/sIM9jRW0rP"",""location"":""Virginia"",""verified"":true,""created_at"":""2007-07-12T14:03:33.000Z"",""protected"":false}",,,,
"1550526084780900354","“The key to our power and our liberation is our stories. It’s time to raise our voices.” 

A powerful testimonial on what’s at stake for women’s health. Thank you, Sara, for sharing your story on abortion, pregnancy &amp; repro health. https://t.co/qXBPGTVFZ1","2022-07-22T17:00:00.000Z","109287731",,"en","{""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/6hHVU7yiOK"",""expanded_url"":""http://shaheen.senate.gov/"",""display_url"":""shaheen.senate.gov""}]}},""description"":""Proud Granite Stater serving New Hampshire in the US Senate. Former Governor. Mother & Grandmother. Frequent Flyer. Pats & Red Sox Fan. Outdoor enthusiast."",""profile_image_url"":""https://pbs.twimg.com/profile_images/994599196652199936/zKIvaqMU_normal.jpg"",""username"":""SenatorShaheen"",""public_metrics"":{""followers_count"":131505,""following_count"":2863,""tweet_count"":14492,""listed_count"":2501},""id"":""109287731"",""name"":""Sen. Jeanne Shaheen"",""url"":""https://t.co/6hHVU7yiOK"",""location"":""Washington, DC"",""verified"":true,""created_at"":""2010-01-28T15:22:44.000Z"",""protected"":false}","{""urls"":[{""start"":236,""end"":259,""url"":""https://t.co/qXBPGTVFZ1"",""expanded_url"":""https://twitter.com/ConMonitorNews/status/1549341392736251905"",""display_url"":""twitter.com/ConMonitorNews…""}],""annotations"":[{""start"":164,""end"":167,""probability"":0.9659,""type"":""Person"",""normalized_text"":""Sara""}]}","[{""type"":""quoted"",""id"":""1549341392736251905"",""entities"":{""urls"":[{""start"":38,""end"":61,""url"":""https://t.co/aKbbl8c2oa"",""expanded_url"":""https://www.concordmonitor.com/My-Turn-Will-it-always-be-like-this-47231139?utm_source=HeadlineAlerts&utm_medium=DailyNewsletter&utm_campaign=HeadlineAlerts"",""display_url"":""concordmonitor.com/My-Turn-Will-i…"",""images"":[{""url"":""https://pbs.twimg.com/news_img/1549341402257321985/N2X1TNAH?format=jpg&name=orig"",""width"":499,""height"":325},{""url"":""https://pbs.twimg.com/news_img/1549341402257321985/N2X1TNAH?format=jpg&name=150x150"",""width"":150,""height"":150}],""status"":200,""title"":""Opinion: Will it always be like this?"",""description"":""Sara Persechino lives in Hopkinton with her family. She is the campaigns and communications director at Planned Parenthood of Northern New England and Planned Parenthood New Hampshire Action Fund. The day Roe v. Wade was overturned, I held it together..."",""unwound_url"":""https://www.concordmonitor.com/My-Turn-Will-it-always-be-like-this-47231139?utm_source=HeadlineAlerts&utm_medium=DailyNewsletter&utm_campaign=HeadlineAlerts""}]},""text"":""Opinion: Will it always be like this? https://t.co/aKbbl8c2oa"",""public_metrics"":{""retweet_count"":1,""reply_count"":0,""like_count"":2,""quote_count"":1},""reply_settings"":""everyone"",""created_at"":""2022-07-19T10:32:28.000Z"",""source"":""Zapier.com"",""context_annotations"":[{""domain"":{""id"":""171"",""name"":""Local News"",""description"":""For local-level news entities""},""entity"":{""id"":""1251259110156206081"",""name"":""New Hampshire""}}],""author_id"":""35772433"",""possibly_sensitive"":false,""lang"":""en"",""conversation_id"":""1549341392736251905""}]",,
"1550251152528252928","Not only is the GOP attacking reproductive health care … they’re refusing to invest in programs that ensure access to everything from cancer screenings to birth control. If they actually want to “protect” families they shouldn’t have blocked our Title X bill today. https://t.co/R9nOLhXtQ6","2022-07-21T22:47:31.000Z","18137749",,"en","{""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/7768eRRbar"",""expanded_url"":""https://www.vanhollen.senate.gov/coronavirus"",""display_url"":""vanhollen.senate.gov/coronavirus""}]}},""description"":""U.S. Senator for Maryland"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1207390627400441856/4WmM925x_normal.jpg"",""username"":""ChrisVanHollen"",""public_metrics"":{""followers_count"":197125,""following_count"":959,""tweet_count"":7151,""listed_count"":2569},""id"":""18137749"",""name"":""Senator Chris Van Hollen"",""url"":""https://t.co/7768eRRbar"",""location"":""Maryland, USA"",""verified"":true,""created_at"":""2008-12-15T15:00:29.000Z"",""protected"":false}","{""urls"":[{""start"":266,""end"":289,""url"":""https://t.co/R9nOLhXtQ6"",""expanded_url"":""https://twitter.com/SenTinaSmith/status/1550166976705843201"",""display_url"":""twitter.com/SenTinaSmith/s…""}],""annotations"":[{""start"":16,""end"":18,""probability"":0.963,""type"":""Organization"",""normalized_text"":""GOP""}]}","[{""type"":""quoted"",""id"":""1550166976705843201"",""text"":""Republicans just blocked my bill to shore up funding for:\n• Birth control education\n• Infertility services\n• STI + HIV screenings\n• Cancer screenings\n• Wellness exams"",""public_metrics"":{""retweet_count"":309,""reply_count"":89,""like_count"":576,""quote_count"":32},""entities"":{""annotations"":[{""start"":0,""end"":10,""probability"":0.6599,""type"":""Organization"",""normalized_text"":""Republicans""}]},""reply_settings"":""everyone"",""created_at"":""2022-07-21T17:13:02.000Z"",""source"":""Twitter Web App"",""context_annotations"":[{""domain"":{""id"":""10"",""name"":""Person"",""description"":""Named people in the world like Nelson Mandela""},""entity"":{""id"":""940982806661840896"",""name"":""Tina Smith"",""description"":""US Senator Tina Smith (MN)""}},{""domain"":{""id"":""35"",""name"":""Politician"",""description"":""Politicians in the world, like Joe Biden""},""entity"":{""id"":""940982806661840896"",""name"":""Tina Smith"",""description"":""US Senator Tina Smith (MN)""}}],""author_id"":""941000686275387392"",""possibly_sensitive"":false,""lang"":""en"",""conversation_id"":""1550166976705843201""}]",,
"1550201445957263360","The GOP has made it clear that they are coming for contraception following the disastrous reversal of Roe v. Wade.

Senate leadership should put this bill on the floor so the American people can see where their lawmakers stand on trusting women to make their own health decisions. https://t.co/Jl45uVI8f7","2022-07-21T19:30:00.000Z","109287731",,"en","{""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/6hHVU7yiOK"",""expanded_url"":""http://shaheen.senate.gov/"",""display_url"":""shaheen.senate.gov""}]}},""description"":""Proud Granite Stater serving New Hampshire in the US Senate. Former Governor. Mother & Grandmother. Frequent Flyer. Pats & Red Sox Fan. Outdoor enthusiast."",""profile_image_url"":""https://pbs.twimg.com/profile_images/994599196652199936/zKIvaqMU_normal.jpg"",""username"":""SenatorShaheen"",""public_metrics"":{""followers_count"":131505,""following_count"":2863,""tweet_count"":14492,""listed_count"":2501},""id"":""109287731"",""name"":""Sen. Jeanne Shaheen"",""url"":""https://t.co/6hHVU7yiOK"",""location"":""Washington, DC"",""verified"":true,""created_at"":""2010-01-28T15:22:44.000Z"",""protected"":false}","{""urls"":[{""start"":281,""end"":304,""url"":""https://t.co/Jl45uVI8f7"",""expanded_url"":""https://twitter.com/CNNPolitics/status/1550154485762342913"",""display_url"":""twitter.com/CNNPolitics/st…""}],""annotations"":[{""start"":4,""end"":6,""probability"":0.9361,""type"":""Organization"",""normalized_text"":""GOP""},{""start"":102,""end"":112,""probability"":0.3801,""type"":""Other"",""normalized_text"":""Roe v. Wade""}]}","[{""type"":""quoted"",""id"":""1550154485762342913"",""entities"":{""urls"":[{""start"":155,""end"":178,""url"":""https://t.co/oBik8ps16o"",""expanded_url"":""https://cnn.it/3aRCSlX"",""display_url"":""cnn.it/3aRCSlX"",""images"":[{""url"":""https://pbs.twimg.com/news_img/1550112108234285057/HZj0QyCx?format=jpg&name=orig"",""width"":1100,""height"":619},{""url"":""https://pbs.twimg.com/news_img/1550112108234285057/HZj0QyCx?format=jpg&name=150x150"",""width"":150,""height"":150}],""status"":200,""title"":""House to vote on bill guaranteeing access to contraception"",""description"":""The House is expected to vote Thursday on a bill that would guarantee access to contraception by protecting the right to buy and use contraceptives without government restriction."",""unwound_url"":""https://www.cnn.com/2022/07/21/politics/contraception-access-house-vote/index.html?utm_medium=social&utm_source=twCNNp&utm_content=2022-07-21T16%3A23%3A24&utm_term=link""}]},""text"":""NEW: House passes a bill that would guarantee access to contraception by protecting the right to buy and use contraceptives without government restriction https://t.co/oBik8ps16o"",""public_metrics"":{""retweet_count"":58,""reply_count"":46,""like_count"":267,""quote_count"":18},""reply_settings"":""everyone"",""created_at"":""2022-07-21T16:23:24.000Z"",""source"":""SocialFlow"",""context_annotations"":[{""domain"":{""id"":""45"",""name"":""Brand Vertical"",""description"":""Top level entities that describe a Brands industry""},""entity"":{""id"":""781974597310615553"",""name"":""Entertainment""}},{""domain"":{""id"":""46"",""name"":""Brand Category"",""description"":""Categories within Brand Verticals that narrow down the scope of Brands""},""entity"":{""id"":""781974596157181956"",""name"":""Online Site""}},{""domain"":{""id"":""46"",""name"":""Brand Category"",""description"":""Categories within Brand Verticals that narrow down the scope of Brands""},""entity"":{""id"":""781974597105094656"",""name"":""TV/Movies Related""}},{""domain"":{""id"":""47"",""name"":""Brand"",""description"":""Brands and Companies""},""entity"":{""id"":""10040667043"",""name"":""CNN""}}],""author_id"":""13850422"",""possibly_sensitive"":false,""lang"":""en"",""conversation_id"":""1550154485762342913""}]",,
"1550187561372553217","The Supreme Court overturned #RoeVWade, and now student surveillance software could put students seeking information about reproductive health at risk of criminal penalties. 
 
@SenMarkey and I want to know how these companies will protect students. https://t.co/Fq9WDCVDCc","2022-07-21T18:34:50.000Z","970207298",,"en","{""entities"":{""url"":{""urls"":[{""start"":0,""end"":20,""url"":""http://t.co/wsbNrrUt"",""expanded_url"":""http://warren.senate.gov"",""display_url"":""warren.senate.gov""}]}},""description"":""U.S. Senator, Massachusetts. She/her/hers. Official Senate account."",""profile_image_url"":""https://pbs.twimg.com/profile_images/722044174799777792/bXaodRhx_normal.jpg"",""username"":""SenWarren"",""public_metrics"":{""followers_count"":7151699,""following_count"":515,""tweet_count"":9934,""listed_count"":20051},""id"":""970207298"",""name"":""Elizabeth Warren"",""url"":""http://t.co/wsbNrrUt"",""verified"":true,""created_at"":""2012-11-25T15:14:27.000Z"",""protected"":false}","{""urls"":[{""start"":250,""end"":273,""url"":""https://t.co/Fq9WDCVDCc"",""expanded_url"":""https://www.bloomberg.com/news/articles/2022-07-21/senators-question-school-surveillance-startups-on-abortion-searches"",""display_url"":""bloomberg.com/news/articles/…"",""images"":[{""url"":""https://pbs.twimg.com/news_img/1550080882245046272/wpoviq2-?format=jpg&name=orig"",""width"":1200,""height"":800},{""url"":""https://pbs.twimg.com/news_img/1550080882245046272/wpoviq2-?format=jpg&name=150x150"",""width"":150,""height"":150}],""status"":200,""title"":""Senators Question School Surveillance Startups on Abortion Searches"",""description"":""Education startups are among a growing cohort of tech companies now facing scrutiny over their handling of reproductive health data."",""unwound_url"":""https://www.bloomberg.com/news/articles/2022-07-21/senators-question-school-surveillance-startups-on-abortion-searches""}],""annotations"":[{""start"":4,""end"":16,""probability"":0.3711,""type"":""Organization"",""normalized_text"":""Supreme Court""}],""hashtags"":[{""start"":29,""end"":38,""tag"":""RoeVWade""}],""mentions"":[{""start"":177,""end"":187,""username"":""SenMarkey"",""id"":""21406834""}]}",,,
"1550167365295505409","We’ve already seen how far Republicans are willing to go to keep Americans from accessing reproductive health care. We cannot let them go after contraceptives next. Now that the House has passed the Right to Contraception Act, we need to vote on it quickly in the Senate. https://t.co/EkR7iofbKM","2022-07-21T17:14:35.000Z","18137749",,"en","{""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/7768eRRbar"",""expanded_url"":""https://www.vanhollen.senate.gov/coronavirus"",""display_url"":""vanhollen.senate.gov/coronavirus""}]}},""description"":""U.S. Senator for Maryland"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1207390627400441856/4WmM925x_normal.jpg"",""username"":""ChrisVanHollen"",""public_metrics"":{""followers_count"":197125,""following_count"":959,""tweet_count"":7151,""listed_count"":2569},""id"":""18137749"",""name"":""Senator Chris Van Hollen"",""url"":""https://t.co/7768eRRbar"",""location"":""Maryland, USA"",""verified"":true,""created_at"":""2008-12-15T15:00:29.000Z"",""protected"":false}","{""urls"":[{""start"":272,""end"":295,""url"":""https://t.co/EkR7iofbKM"",""expanded_url"":""https://twitter.com/HuffPost/status/1550146190641176578"",""display_url"":""twitter.com/HuffPost/statu…""}],""annotations"":[{""start"":27,""end"":37,""probability"":0.7939,""type"":""Organization"",""normalized_text"":""Republicans""},{""start"":65,""end"":73,""probability"":0.6228,""type"":""Person"",""normalized_text"":""Americans""},{""start"":264,""end"":269,""probability"":0.5122,""type"":""Organization"",""normalized_text"":""Senate""}]}","[{""type"":""quoted"",""id"":""1550146190641176578"",""entities"":{""urls"":[{""start"":186,""end"":209,""url"":""https://t.co/vVZBUKaP3O"",""expanded_url"":""https://www.huffpost.com/entry/house-republicans-voted-against-birth-control-protections_n_62d84d4be4b03dbb9913f86d?3oa"",""display_url"":""huffpost.com/entry/house-re…"",""images"":[{""url"":""https://pbs.twimg.com/news_img/1550145946184548353/DRu24xg6?format=jpg&name=orig"",""width"":1778,""height"":1000},{""url"":""https://pbs.twimg.com/news_img/1550145946184548353/DRu24xg6?format=jpg&name=150x150"",""width"":150,""height"":150}],""status"":200,""title"":""195 House Republicans Voted Against Birth Control Protections"",""description"":""The House passed the Right to Contraception Act, which would codify the right to birth control amid fears that conservatives are coming for that next."",""unwound_url"":""https://www.huffpost.com/entry/house-republicans-voted-against-birth-control-protections_n_62d84d4be4b03dbb9913f86d?3oa""}],""annotations"":[{""start"":77,""end"":87,""probability"":0.5042,""type"":""Organization"",""normalized_text"":""Republicans""}]},""text"":""NEW: The House passed the Right to Contraception Act on Thursday despite 195 Republicans who voted against it. The bill would codify the right to birth control and other contraceptives. https://t.co/vVZBUKaP3O"",""public_metrics"":{""retweet_count"":1466,""reply_count"":272,""like_count"":4849,""quote_count"":596},""reply_settings"":""everyone"",""created_at"":""2022-07-21T15:50:26.000Z"",""source"":""Twitter Web App"",""context_annotations"":[{""domain"":{""id"":""47"",""name"":""Brand"",""description"":""Brands and Companies""},""entity"":{""id"":""1104055595164872705"",""name"":""HuffPost"",""description"":""HuffPost""}},{""domain"":{""id"":""47"",""name"":""Brand"",""description"":""Brands and Companies""},""entity"":{""id"":""10040667021"",""name"":""The Huffington Post""}},{""domain"":{""id"":""29"",""name"":""Events [Entity Service]"",""description"":""Entity Service related Events domain""},""entity"":{""id"":""1448744041105944600"",""name"":""Breaking News""}},{""domain"":{""id"":""29"",""name"":""Events [Entity Service]"",""description"":""Entity Service related Events domain""},""entity"":{""id"":""1451358585376575499"",""name"":""NZ roadmap""}},{""domain"":{""id"":""29"",""name"":""Events [Entity Service]"",""description"":""Entity Service related Events domain""},""entity"":{""id"":""1549461607645753344"",""name"":""House passes bill to codify same-sex marriage"",""description"":""The House of Representatives passed the Respect for Marriage Act in a vote of 267 to 157 on Tuesday, a bill that could codify same-sex marriage nationwide if passed in the Senate. The legislation, which comes in response to the Supreme Court’s ruling overturning Roe v. Wade last month, would also repeal the Defense of Marriage Act, a 1996 law signed by former president Bill Clinton that defined marriage as a union between a man and a woman. The legislation faces an uncertain fate in the Senate, where at least 10 Republicans would need to join with Democrats to overcome the filibuster, CNN reports.""}}],""author_id"":""14511951"",""possibly_sensitive"":false,""lang"":""en"",""conversation_id"":""1550146190641176578""}]",,
"1550159031775412232","Protecting Americans' data has become a matter of life and death in the wake of Roe being overturned. I will keep pressing companies like Google to collect and store far less of Americans' private data so it can't be weaponized against women who seek reproductive care. https://t.co/P8OdPMSX9k","2022-07-21T16:41:28.000Z","250188760",,"en","{""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/3GYKERMfcV"",""expanded_url"":""http://wyden.senate.gov"",""display_url"":""wyden.senate.gov""}]},""description"":{""urls"":[{""start"":108,""end"":131,""url"":""https://t.co/F6XmPUnCO8"",""expanded_url"":""http://Instagram.com/RonWyden"",""display_url"":""Instagram.com/RonWyden""}],""mentions"":[{""start"":26,""end"":40,""username"":""SenateFinance""},{""start"":58,""end"":69,""username"":""WydenPress""}]}},""description"":""U.S. Senator from Oregon. @SenateFinance Chairman. Follow @WydenPress for updates from my staff. Instagram: https://t.co/F6XmPUnCO8. He/him."",""profile_image_url"":""https://pbs.twimg.com/profile_images/1513357964362629125/r8T2jMvK_normal.jpg"",""username"":""RonWyden"",""public_metrics"":{""followers_count"":528868,""following_count"":626,""tweet_count"":12480,""listed_count"":4278},""id"":""250188760"",""name"":""Ron Wyden"",""url"":""https://t.co/3GYKERMfcV"",""location"":""Oregon"",""verified"":true,""created_at"":""2011-02-10T16:08:15.000Z"",""protected"":false}","{""urls"":[{""start"":270,""end"":293,""url"":""https://t.co/P8OdPMSX9k"",""expanded_url"":""https://twitter.com/politico/status/1549025229862756352"",""display_url"":""twitter.com/politico/statu…""}],""annotations"":[{""start"":80,""end"":82,""probability"":0.6361,""type"":""Person"",""normalized_text"":""Roe""},{""start"":138,""end"":143,""probability"":0.6546,""type"":""Organization"",""normalized_text"":""Google""}]}","[{""type"":""quoted"",""id"":""1549025229862756352"",""entities"":{""urls"":[{""start"":257,""end"":280,""url"":""https://t.co/UcEH7duMi7"",""expanded_url"":""https://www.politico.com/news/2022/07/18/google-data-states-track-abortions-00045906"",""display_url"":""politico.com/news/2022/07/1…"",""status"":200,""title"":""‘A uniquely dangerous tool’: How Google's data can help states track abortions"",""description"":""Ten states where ending a pregnancy is now illegal have sent the search giant more than 5,700 demands for location tracking data since 2018 — showing the data's potential usefulness to authorities enforcing abortion bans."",""unwound_url"":""https://www.politico.com/news/2022/07/18/google-data-states-track-abortions-00045906""}],""annotations"":[{""start"":50,""end"":55,""probability"":0.7023,""type"":""Organization"",""normalized_text"":""Google""}]},""text"":""10 states where abortion is now illegal have sent Google more than 5,700 demands for location tracking data since 2018.\n\nThere's growing alarm about how police or prosecutors could use that data to target abortion providers or people seeking the procedure. https://t.co/UcEH7duMi7"",""public_metrics"":{""retweet_count"":3086,""reply_count"":221,""like_count"":3778,""quote_count"":523},""reply_settings"":""everyone"",""created_at"":""2022-07-18T13:36:08.000Z"",""source"":""Twitter Web App"",""context_annotations"":[{""domain"":{""id"":""46"",""name"":""Brand Category"",""description"":""Categories within Brand Verticals that narrow down the scope of Brands""},""entity"":{""id"":""781974596752842752"",""name"":""Services""}},{""domain"":{""id"":""47"",""name"":""Brand"",""description"":""Brands and Companies""},""entity"":{""id"":""10026378521"",""name"":""Google ""}},{""domain"":{""id"":""48"",""name"":""Product"",""description"":""Products created by Brands.  Examples: Ford Explorer, Apple iPhone.""},""entity"":{""id"":""1395474411180892160"",""name"":""Google brand conversation""}},{""domain"":{""id"":""29"",""name"":""Events [Entity Service]"",""description"":""Entity Service related Events domain""},""entity"":{""id"":""1443944292695744517"",""name"":""Federal court hears Department of Justice's request to block Texas' controversial abortion ban"",""description"":""A federal judge in the US District Court for the Western District of Texas is hearing arguments from the US Department of Justice as well as the state of Texas on whether to block Texas Senate Bill 8, the ban on abortions past six weeks. The state law went into effect on September 1 and the Justice Department has said the law is \""in open defiance of the Constitution,\"" according to NBC News. \n\nThe Justice Department sued Texas last month because the abortion ban violated the Supremacy Clause and equal protection under the 14th Amendment. The House also held a hearing on SB8 on Thursday, during which three female members of Congress testified about their decisions to have abortions. \n\n""}},{""domain"":{""id"":""29"",""name"":""Events [Entity Service]"",""description"":""Entity Service related Events domain""},""entity"":{""id"":""1448744041105944600"",""name"":""Breaking News""}},{""domain"":{""id"":""29"",""name"":""Events [Entity Service]"",""description"":""Entity Service related Events domain""},""entity"":{""id"":""1451358585376575499"",""name"":""NZ roadmap""}}],""author_id"":""9300262"",""possibly_sensitive"":false,""lang"":""en"",""conversation_id"":""1549025229862756352""}]",,
"1550157515555590145","Tune in as Senate Democrats push to pass the Expanding Access to Family Planning Act.

It would provide funding for a full range of reproductive care options—things like birth control and cancer screenings.  https://t.co/pJFxGww2RG","2022-07-21T16:35:26.000Z","941000686275387392",,"en","{""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/V0SvHBfiUo"",""expanded_url"":""https://www.smith.senate.gov"",""display_url"":""smith.senate.gov""}]}},""description"":""Mom, wife, daughter, & loving but distracted friend. US Senator, MN. Birdwatcher and hiker. Prefers window seats, donuts, & MN beer, all together when possible."",""profile_image_url"":""https://pbs.twimg.com/profile_images/1526942426413338625/nyHv1YHs_normal.jpg"",""username"":""SenTinaSmith"",""public_metrics"":{""followers_count"":99597,""following_count"":2160,""tweet_count"":4912,""listed_count"":1319},""id"":""941000686275387392"",""name"":""Senator Tina Smith"",""url"":""https://t.co/V0SvHBfiUo"",""verified"":true,""created_at"":""2017-12-13T17:43:41.000Z"",""protected"":false}","{""urls"":[{""start"":208,""end"":231,""url"":""https://t.co/pJFxGww2RG"",""expanded_url"":""https://twitter.com/i/broadcasts/1YpKkZgQWRXxj"",""display_url"":""twitter.com/i/broadcasts/1…"",""images"":[{""url"":""https://pbs.twimg.com/news_img/1551249105095036933/z-8E2MWi?format=jpg&name=orig"",""width"":1920,""height"":1080},{""url"":""https://pbs.twimg.com/news_img/1551249105095036933/z-8E2MWi?format=jpg&name=150x150"",""width"":150,""height"":150}],""status"":200,""title"":""Senator Tina Smith"",""description"":""Expanding Access to Family Planning Act Floor Action"",""unwound_url"":""https://twitter.com/i/broadcasts/1YpKkZgQWRXxj""}],""annotations"":[{""start"":11,""end"":26,""probability"":0.7828,""type"":""Organization"",""normalized_text"":""Senate Democrats""}]}",,,
