Name;Link;State;Party
Adams, Alma;https://twitter.com/RepAdams;NC;Democrat
Aderholt, Robert;https://twitter.com/Robert_Aderholt;AL;Republican
Aguilar, Pete;https://twitter.com/RepPeteAguilar;CA;Democrat
Allen, Rick;https://twitter.com/RepRickAllen;GA;Republican
Allred, Colin;https://twitter.com/RepColinAllred;TX;Democrat
Amodei, Mark;https://twitter.com/MarkAmodeiNV2;NV;Republican
Armstrong, Kelly;https://twitter.com/RepArmstrongND;ND;Republican
Arrington, Jodey;https://twitter.com/RepArrington;TX;Republican
Auchincloss, Jake;https://twitter.com/RepAuchincloss;MA;Democrat
Axne, Cindy;https://twitter.com/RepCindyAxne;IA;Democrat
Babin, Brian;https://twitter.com/RepBrianBabin;TX;Republican
Bacon, Don;https://twitter.com/RepDonBacon;NE;Republican
Baird, Jim;https://twitter.com/RepJimBaird;IN;Republican
Balderson, Troy;https://twitter.com/RepBalderson;OH;Republican
Banks, Jim;https://twitter.com/RepJimBanks;IN;Republican
Barr, Andy;https://twitter.com/RepAndyBarr;KY;Republican
Barragán, Nanette;https://twitter.com/RepBarragan;CA;Democrat
Bass, Karen;https://twitter.com/RepKarenBass;CA;Democrat
Beatty, Joyce;https://twitter.com/RepBeatty;OH;Democrat
Bentz, Cliff;https://twitter.com/RepBentz;OR;Republican
Bera, Ami;https://twitter.com/RepBera;CA;Democrat
Bergman, Jack;https://twitter.com/RepJackBergman;MI;Republican
Beyer, Don;https://twitter.com/RepDonBeyer;VA;Democrat
Bice, Stephanie I.;https://twitter.com/RepBice;OK;Republican
Biggs, Andy;https://twitter.com/RepAndyBiggsAZ;AZ;Republican
Bilirakis, Gus M.;https://twitter.com/RepGusBilirakis;FL;Republican
Bishop Jr., Sanford D.;https://twitter.com/SanfordBishop;GA;Democrat
Bishop, Dan;https://twitter.com/RepDanBishop;NC;Republican
Blumenauer, Earl;https://twitter.com/repblumenauer;OR;Democrat
Blunt Rochester, Lisa;https://twitter.com/RepLBR;DE;Democrat
Boebert, Lauren;https://twitter.com/RepBoebert;CO;Republican
Bonamici, Suzanne;https://twitter.com/RepBonamici;OR;Democrat
Bost, Mike;https://twitter.com/RepBost;IL;Republican
Bourdeaux, Carolyn;https://twitter.com/RepBourdeaux;GA;Democrat
Bowman, Jamaal;https://twitter.com/RepBowman;NY;Democrat
Boyle, Brendan;https://twitter.com/CongBoyle;PA;Democrat
Brady, Kevin;https://twitter.com/RepKevinBrady;TX;Republican
Brooks, Mo;https://twitter.com/RepMoBrooks;AL;Republican
Brown, Anthony;https://twitter.com/RepAnthonyBrown;MD;Democrat
Brown, Shontel;https://twitter.com/RepShontelBrown;OH;Democrat
Brownley, Julia;https://twitter.com/RepBrownley;CA;Democrat
Buchanan, Vern;https://twitter.com/VernBuchanan;FL;Republican
Buck, Ken;https://twitter.com/RepKenBuck;CO;Republican
Bucshon, Larry;https://twitter.com/RepLarryBucshon;IN;Republican
Budd, Ted;https://twitter.com/RepTedBudd;NC;Republican
Burchett, Tim;https://twitter.com/RepTimBurchett;TN;Republican
Burgess, Michael;https://twitter.com/michaelcburgess;TX;Republican
Bush, Cori;https://twitter.com/RepCori;MO;Democrat
Bustos, Cheri;https://twitter.com/RepCheri;IL;Democrat
Butterfield, G.K.;https://twitter.com/GKButterfield;NC;Democrat
Calvert, Ken;https://twitter.com/KenCalvert;CA;Republican
Cammack, Kat;https://twitter.com/RepKatCammack;FL;Republican
Carbajal, Salud;https://twitter.com/RepCarbajal;CA;Democrat
Cardenas, Tony;https://twitter.com/RepCardenas;CA;Democrat
Carey, Mike;https://twitter.com/RepMikeCarey;OH;Republican
Carl, Jerry L.;https://twitter.com/RepJerryCarl;AL;Republican
Carson, André;https://twitter.com/RepAndreCarson;IN;Democrat
Carter, Buddy;https://twitter.com/RepBuddyCarter;GA;Republican
Carter, John;https://twitter.com/JudgeCarter;TX;Republican
Carter, Troy;https://twitter.com/RepTroyCarter;LA;Democrat
Cartwright, Matt;https://twitter.com/RepCartwright;PA;Democrat
Case, Ed;https://twitter.com/RepEdCase;HI;Democrat
Casten, Sean;https://twitter.com/RepCasten;IL;Democrat
Castor, Kathy;https://twitter.com/USRepKCastor;FL;Democrat
Castro, Joaquin;https://twitter.com/JoaquinCastrotx;TX;Democrat
Cawthorn, Madison;https://twitter.com/RepCawthorn;NC;Republican
Chabot, Steve;https://twitter.com/RepSteveChabot;OH;Republican
Cheney, Liz;https://twitter.com/RepLizCheney;WY;Republican
Cherfilus-McCormick, Sheila;https://twitter.com/CongresswomanSC;FL;Democrat
Chu, Judy;https://twitter.com/RepJudyChu;CA;Democrat
Cicilline, David;https://twitter.com/RepCicilline;RI;Democrat
Clark, Katherine;https://twitter.com/RepKClark;MA;Democrat
Clarke, Yvette D.;https://twitter.com/RepYvetteClarke;NY;Democrat
Cleaver, Emanuel;https://twitter.com/repcleaver;MO;Democrat
Cline, Ben;https://twitter.com/RepBenCline;VA;Republican
Cloud, Michael;https://twitter.com/RepCloudTX;TX;Republican
Clyburn, James E.;https://twitter.com/WhipClyburn;SC;Democrat
Clyde, Andrew S.;https://twitter.com/Rep_Clyde ;GA;Republican
Cohen, Steve;https://twitter.com/RepCohen;TN;Democrat
Cole, Tom;https://twitter.com/TomColeOK04;OK;Republican
Comer, James;https://twitter.com/RepJamesComer;KY;Republican
"Connolly, Gerald E. ""Gerry""";https://twitter.com/GerryConnolly;VA;Democrat
Cooper, Jim;https://twitter.com/repjimcooper;TN;Democrat
Correa, J. Luis;https://twitter.com/RepLouCorrea;CA;Democrat
Costa, Jim;https://twitter.com/RepJimCosta;CA;Democrat
Courtney, Joe;https://twitter.com/RepJoeCourtney;CT;Democrat
Craig, Angie;https://twitter.com/RepAngieCraig;MN;Democrat
Crawford, Rick;https://twitter.com/RepRickCrawford;AR;Republican
Crenshaw, Dan;https://twitter.com/RepDanCrenshaw;TX;Republican
Crist, Charlie;https://twitter.com/RepCharlieCrist;FL;Democrat
Crow, Jason;https://twitter.com/RepJasonCrow;CO;Democrat
Cuellar, Henry;https://twitter.com/RepCuellar;TX;Democrat
Curtis, John R.;https://twitter.com/RepJohnCurtis;UT;Republican
Davids, Sharice;https://twitter.com/RepDavids;KS;Democrat
Davidson, Warren;https://twitter.com/WarrenDavidson;OH;Republican
Davis, Danny K.;https://twitter.com/RepDannyDavis;IL;Democrat
Davis, Rodney;https://twitter.com/RodneyDavis;IL;Republican
Dean, Madeleine;https://twitter.com/RepDean;PA;Democrat
DeFazio, Peter;https://twitter.com/RepPeterDeFazio;OR;Democrat
DeGette, Diana;https://twitter.com/RepDianaDeGette;CO;Democrat
