Name;Link;State;Party
Baldwin, Tammy;https://twitter.com/SenatorBaldwin;WI;Democrat
Barrasso, John;https://twitter.com/SenJohnBarrasso;WY;Republican
Bennet, Michael F.;https://twitter.com/SenatorBennet;CO;Democrat
Blackburn, Marsha;https://twitter.com/MarshaBlackburn;TN;Republican
Blumenthal, Richard;https://twitter.com/SenBlumenthal;CT;Democrat
Blunt, Roy;https://twitter.com/RoyBlunt;MO;Republican
Booker, Cory A.;https://twitter.com/CoryBooker;NJ;Democrat
Boozman, John;https://twitter.com/JohnBoozman;AR;Republican
Braun, Mike;https://twitter.com/SenatorBraun;IN;Republican
Brown, Sherrod;https://twitter.com/SenSherrodBrown;OH;Democrat
Burr, Richard;https://twitter.com/SenatorBurr;NC;Republican
Cantwell, Maria;https://twitter.com/SenatorCantwell;WA;Democrat
Capito, Shelley Moore;https://twitter.com/SenCapito;WV;Republican
Cardin, Benjamin L.;https://twitter.com/SenatorCardin;MD;Democrat
Carper, Thomas R.;https://twitter.com/SenatorCarper;DE;Democrat
Casey, Robert P. Jr.;https://twitter.com/SenBobCasey;PA;Democrat
Cassidy, Bill;https://twitter.com/SenBillCassidy;LA;Republican
Collins, Susan M.;https://twitter.com/SenatorCollins;ME;Republican
Coons, Christopher A.;https://twitter.com/ChrisCoons;DE;Democrat
Cornyn, John;https://twitter.com/JohnCornyn;TX;Republican
Cortez Masto, Catherine;https://twitter.com/SenCortezMasto;NV;Democrat
Cotton, Tom;https://twitter.com/SenTomCotton;AR;Republican
Cramer, Kevin;https://twitter.com/SenKevinCramer;ND;Republican
Crapo, Mike;https://twitter.com/MikeCrapo;ID;Republican
Cruz, Ted;https://twitter.com/SenTedCruz;TX;Republican
Daines, Steve;https://twitter.com/SteveDaines;MT;Republican
Duckworth, Tammy;https://twitter.com/SenDuckworth;IL;Democrat
Durbin, Richard J.;https://twitter.com/SenatorDurbin;IL;Democrat
Ernst, Joni;https://twitter.com/SenJoniErnst;IA;Republican
Feinstein, Dianne;https://twitter.com/SenFeinstein;CA;Democrat
Fischer, Deb;https://twitter.com/SenatorFischer;NE;Republican
Gillibrand, Kirsten E.;https://twitter.com/SenGillibrand;NY;Democrat
Graham, Lindsey;https://twitter.com/LindseyGrahamSC;SC;Republican
Grassley, Chuck;https://twitter.com/ChuckGrassley;IA;Republican
Hagerty, Bill;https://twitter.com/SenatorHagerty;TN;Republican
Hassan, Margaret Wood;https://twitter.com/SenatorHassan;NH;Democrat
Hawley, Josh;https://twitter.com/HawleyMO;MO;Republican
Heinrich, Martin;https://twitter.com/MartinHeinrich;NM;Democrat
Hickenlooper, John W.;https://twitter.com/SenatorHick;CO;Democrat
Hirono, Mazie K.;https://twitter.com/maziehirono;HI;Democrat
Hoeven, John;https://twitter.com/SenJohnHoeven;ND;Republican
Hyde-Smith, Cindy;https://twitter.com/SenHydeSmith;MS;Republican
Inhofe, James M.;https://twitter.com/JimInhofe;OK;Republican
Johnson, Ron;https://twitter.com/SenRonJohnson;WI;Republican
Kaine, Tim;https://twitter.com/timkaine;VA;Democrat
Kelly, Mark;https://twitter.com/SenMarkKelly;AZ;Democrat
Kennedy, John;https://twitter.com/SenJohnKennedy;LA;Republican
King, Angus S. Jr.;https://twitter.com/SenAngusKing;ME;Independent
Klobuchar, Amy;https://twitter.com/SenAmyKlobuchar;MN;Democrat
Lankford, James;https://twitter.com/SenatorLankford;OK;Republican
Leahy, Patrick J.;https://twitter.com/SenatorLeahy;VT;Democrat
Lee, Mike;https://twitter.com/SenMikeLee;UT;Republican
Luján, Ben Ray;https://twitter.com/SenatorLujan;NM;Democrat
Lummis, Cynthia M.;https://twitter.com/SenLummis;WY;Republican
Manchin, Joe;https://twitter.com/Sen_JoeManchin;WV;Democrat
Markey, Edward J.;https://twitter.com/SenMarkey;MA;Democrat
Marshall, Roger;https://twitter.com/SenatorMarshall;KS;Republican
McConnell, Mitch;https://twitter.com/senatemajldr;KY;Republican
Menendez, Bob;https://twitter.com/SenatorMenendez;NJ;Democrat
Merkley, Jeff;https://twitter.com/SenJeffMerkley;OR;Democrat
Moran, Jerry;https://twitter.com/JerryMoran;KS;Republican
Murkowski, Lisa;https://twitter.com/lisamurkowski;AK;Republican
Murphy, Christopher;https://twitter.com/ChrisMurphyCT;CT;Democrat
Murray, Patty;https://twitter.com/PattyMurray;WA;Democrat
Ossoff, Jon;https://twitter.com/ossoff;GA;Democrat
Padilla, Alex;https://twitter.com/SenAlexPadilla;CA;Democrat
Paul, Rand;https://twitter.com/RandPaul;KY;Republican
Peters, Gary C.;https://twitter.com/SenGaryPeters;MI;Democrat
Portman, Rob;https://twitter.com/senrobportman;OH;Republican
Reed, Jack;https://twitter.com/SenJackReed;RI;Democrat
Risch, James E.;https://twitter.com/SenatorRisch;ID;Republican
