,Name,count
2022-05-24,"Cortez Masto, Catherine",1
2022-05-24,"Duckworth, Tammy",1
2022-05-24,"Hagerty, Bill",1
2022-05-24,"Hyde-Smith, Cindy",1
2022-05-24,"Schumer, Charles E.",1
2022-05-24,"Warren, Elizabeth",1
2022-05-24,"Wicker, Roger F.",1
2022-05-25,"Cramer, Kevin",1
2022-05-25,"Stabenow, Debbie",1
2022-05-25,"Warner, Mark R.",1
2022-05-26,"Padilla, Alex",1
2022-05-26,"Warren, Elizabeth",1
2022-05-26,"Wyden, Ron",1
2022-05-27,"Hassan, Margaret Wood",1
2022-05-27,"Hickenlooper, John W.",1
2022-05-29,"Warren, Elizabeth",1
2022-05-29,"Wicker, Roger F.",1
2022-05-30,"Markey, Edward J.",1
2022-05-31,"Hyde-Smith, Cindy",1
2022-05-31,"Murphy, Christopher",1
2022-05-31,"Wyden, Ron",1
2022-06-01,"Daines, Steve",2
2022-06-01,"Hyde-Smith, Cindy",1
2022-06-02,"Hagerty, Bill",1
2022-06-02,"Lankford, James",1
2022-06-02,"Romney, Mitt",1
2022-06-02,"Scott, Tim",1
2022-06-03,"Lankford, James",1
2022-06-03,"Shaheen, Jeanne",1
2022-06-04,"Leahy, Patrick J.",1
2022-06-04,"Warren, Elizabeth",1
2022-06-05,"Cortez Masto, Catherine",1
2022-06-05,"Gillibrand, Kirsten E.",1
2022-06-05,"Warner, Mark R.",1
2022-06-06,"Stabenow, Debbie",1
2022-06-06,"Warren, Elizabeth",1
2022-06-07,"Cardin, Benjamin L.",1
2022-06-07,"Hickenlooper, John W.",1
2022-06-07,"Hyde-Smith, Cindy",1
2022-06-07,"Padilla, Alex",1
2022-06-07,"Peters, Gary C.",1
2022-06-07,"Smith, Tina",1
2022-06-07,"Van Hollen, Chris",1
2022-06-08,"Baldwin, Tammy",3
2022-06-08,"Cantwell, Maria",1
2022-06-08,"Cornyn, John",1
2022-06-08,"Duckworth, Tammy",2
2022-06-08,"Hyde-Smith, Cindy",1
2022-06-08,"Johnson, Ron",1
2022-06-08,"Lankford, James",1
2022-06-08,"Peters, Gary C.",1
2022-06-08,"Rosen, Jacky",1
2022-06-08,"Rubio, Marco",1
2022-06-08,"Scott, Tim",1
2022-06-08,"Warren, Elizabeth",2
2022-06-08,"Wicker, Roger F.",2
2022-06-09,"Baldwin, Tammy",2
2022-06-09,"Blumenthal, Richard",1
2022-06-09,"Cornyn, John",1
2022-06-09,"Duckworth, Tammy",1
2022-06-09,"Feinstein, Dianne",1
2022-06-09,"Hirono, Mazie K.",1
2022-06-09,"Markey, Edward J.",1
2022-06-09,"Merkley, Jeff",1
2022-06-09,"Peters, Gary C.",1
2022-06-09,"Rosen, Jacky",1
2022-06-09,"Shaheen, Jeanne",1
2022-06-10,"Cortez Masto, Catherine",1
2022-06-10,"Luján, Ben Ray",1
2022-06-10,"Shaheen, Jeanne",1
2022-06-11,"Peters, Gary C.",1
2022-06-12,"Cornyn, John",1
2022-06-12,"Cortez Masto, Catherine",1
2022-06-12,"Duckworth, Tammy",1
2022-06-12,"Hickenlooper, John W.",1
2022-06-13,"Bennet, Michael F.",1
2022-06-13,"Cantwell, Maria",1
2022-06-13,"Cornyn, John",1
2022-06-13,"Cortez Masto, Catherine",1
2022-06-13,"Heinrich, Martin",1
2022-06-13,"Warren, Elizabeth",1
2022-06-14,"Cortez Masto, Catherine",1
2022-06-14,"Hawley, Josh",2
2022-06-14,"Smith, Tina",1
2022-06-14,"Stabenow, Debbie",1
2022-06-14,"Warren, Elizabeth",1
2022-06-14,"Whitehouse, Sheldon",1
2022-06-15,"Hawley, Josh",1
2022-06-15,"Hirono, Mazie K.",1
2022-06-15,"Lankford, James",2
2022-06-15,"Lee, Mike",1
2022-06-15,"Merkley, Jeff",1
2022-06-15,"Rubio, Marco",1
2022-06-15,"Shaheen, Jeanne",1
2022-06-15,"Warren, Elizabeth",4
2022-06-15,"Wyden, Ron",1
2022-06-16,"Blackburn, Marsha",1
2022-06-16,"Cruz, Ted",1
2022-06-16,"Moran, Jerry",1
2022-06-16,"Peters, Gary C.",1
2022-06-16,"Rubio, Marco",1
2022-06-16,"Scott, Rick",1
2022-06-16,"Warren, Elizabeth",1
2022-06-17,"Blackburn, Marsha",1
2022-06-17,"Ernst, Joni",1
2022-06-17,"Moran, Jerry",1
2022-06-17,"Warner, Mark R.",1
2022-06-17,"Warren, Elizabeth",2
2022-06-18,"Duckworth, Tammy",1
2022-06-18,"Smith, Tina",1
2022-06-19,"Scott, Rick",1
2022-06-20,"Romney, Mitt",1
2022-06-20,"Stabenow, Debbie",1
2022-06-20,"Warner, Mark R.",1
2022-06-21,"Cantwell, Maria",1
2022-06-21,"Cortez Masto, Catherine",1
2022-06-21,"Hirono, Mazie K.",1
2022-06-21,"Lankford, James",1
2022-06-21,"Padilla, Alex",1
2022-06-21,"Peters, Gary C.",1
2022-06-22,"Hickenlooper, John W.",1
2022-06-22,"Johnson, Ron",1
2022-06-22,"Warner, Mark R.",1
2022-06-23,"Padilla, Alex",1
2022-06-23,"Rubio, Marco",1
2022-06-23,"Shaheen, Jeanne",1
2022-06-23,"Smith, Tina",3
2022-06-23,"Stabenow, Debbie",1
2022-06-23,"Warner, Mark R.",1
2022-06-24,"Blackburn, Marsha",7
2022-06-24,"Blumenthal, Richard",2
2022-06-24,"Booker, Cory A.",4
2022-06-24,"Braun, Mike",1
2022-06-24,"Cantwell, Maria",4
2022-06-24,"Cardin, Benjamin L.",5
2022-06-24,"Cassidy, Bill",1
2022-06-24,"Coons, Christopher A.",1
2022-06-24,"Cornyn, John",3
2022-06-24,"Cortez Masto, Catherine",1
2022-06-24,"Cotton, Tom",2
2022-06-24,"Crapo, Mike",1
2022-06-24,"Cruz, Ted",6
2022-06-24,"Daines, Steve",2
2022-06-24,"Duckworth, Tammy",4
2022-06-24,"Durbin, Richard J.",6
2022-06-24,"Feinstein, Dianne",1
2022-06-24,"Gillibrand, Kirsten E.",2
2022-06-24,"Graham, Lindsey",2
2022-06-24,"Hagerty, Bill",1
2022-06-24,"Hassan, Margaret Wood",2
2022-06-24,"Hawley, Josh",1
2022-06-24,"Heinrich, Martin",2
2022-06-24,"Hickenlooper, John W.",3
2022-06-24,"Hoeven, John",2
2022-06-24,"Inhofe, James M.",1
2022-06-24,"Johnson, Ron",1
2022-06-24,"Kaine, Tim",3
2022-06-24,"Kelly, Mark",2
2022-06-24,"Kennedy, John",1
2022-06-24,"King, Angus S. Jr.",1
2022-06-24,"Klobuchar, Amy",2
2022-06-24,"Lankford, James",1
2022-06-24,"Leahy, Patrick J.",1
2022-06-24,"Lee, Mike",1
2022-06-24,"Luján, Ben Ray",1
2022-06-24,"Lummis, Cynthia M.",1
2022-06-24,"Manchin, Joe",1
2022-06-24,"Markey, Edward J.",2
2022-06-24,"Merkley, Jeff",6
2022-06-24,"Moran, Jerry",1
2022-06-24,"Murphy, Christopher",2
2022-06-24,"Padilla, Alex",2
2022-06-24,"Peters, Gary C.",1
2022-06-24,"Risch, James E.",1
2022-06-24,"Rosen, Jacky",1
2022-06-24,"Rubio, Marco",3
2022-06-24,"Sanders, Bernard",1
2022-06-24,"Schumer, Charles E.",5
2022-06-24,"Scott, Rick",2
2022-06-24,"Scott, Tim",1
2022-06-24,"Shaheen, Jeanne",2
2022-06-24,"Shelby, Richard C.",1
2022-06-24,"Sinema, Kyrsten",1
2022-06-24,"Smith, Tina",4
2022-06-24,"Stabenow, Debbie",2
2022-06-24,"Thune, John",1
2022-06-24,"Toomey, Patrick J.",2
2022-06-24,"Van Hollen, Chris",3
2022-06-24,"Warner, Mark R.",1
2022-06-24,"Warnock, Raphael G.",1
2022-06-24,"Warren, Elizabeth",3
2022-06-24,"Whitehouse, Sheldon",7
2022-06-24,"Wicker, Roger F.",3
2022-06-24,"Wyden, Ron",3
2022-06-24,"Young, Todd",2
2022-06-25,"Blackburn, Marsha",2
2022-06-25,"Cantwell, Maria",2
2022-06-25,"Cardin, Benjamin L.",2
2022-06-25,"Cornyn, John",2
2022-06-25,"Cortez Masto, Catherine",3
2022-06-25,"Cruz, Ted",2
2022-06-25,"Durbin, Richard J.",1
2022-06-25,"Gillibrand, Kirsten E.",1
2022-06-25,"Hawley, Josh",6
2022-06-25,"Hickenlooper, John W.",2
2022-06-25,"Merkley, Jeff",2
